Date,EIK,EIM,GRND,HAGA,ICEAIR,MARL,N1,NYHR,OSSRu,REGINN,REITIR,SIMINN,SJOVA,SKEL,TM,VIS,VOICE,OMXIPI_Index
2016-01-04 00:00:00,,,,,,,,,,,,,,,,,,1327.74
2016-01-04 18:00:00,8.13,241.5,41.45,45.0,35.95,254.0,52.0,18.35,475.0,19.55,84.0,3.69,12.65,,23.5,8.98,47.65,
2016-01-05 00:00:00,,,,,,,,,,,,,,,,,,1317.74
2016-01-05 18:00:00,8.25,239.5,41.45,45.6,36.35,254.0,51.5,18.6,446.0,20.15,85.65,3.7,12.72,,23.65,8.91,48.4,
2016-01-06 00:00:00,,,,,,,,,,,,,,,,,,1321.71
2016-01-06 18:00:00,8.2,240.0,42.0,45.8,37.1,252.0,51.5,18.3,446.0,20.05,85.6,3.7,12.65,,23.6,8.94,48.5,
2016-01-07 00:00:00,,,,,,,,,,,,,,,,,,1310.32
2016-01-07 18:00:00,8.22,239.5,41.5,46.1,36.65,246.5,50.8,18.2,444.0,20.225,85.7,3.66,12.57,,23.3,8.78,48.4,
2016-01-08 00:00:00,,,,,,,,,,,,,,,,,,1310.04
2016-01-08 18:00:00,8.33,239.0,41.75,46.3,36.75,244.0,50.3,18.6,444.0,20.45,85.8,3.66,12.42,,23.1,8.88,48.15,
2016-01-11 00:00:00,,,,,,,,,,,,,,,,,,1284.83
2016-01-11 18:00:00,8.33,236.0,41.15,46.1,35.8,239.0,50.0,18.6,430.0,20.45,84.4,3.59,12.25,,22.65,8.69,47.75,
2016-01-12 00:00:00,,,,,,,,,,,,,,,,,,1286.83
2016-01-12 18:00:00,8.3,239.5,41.35,47.1,35.8,239.0,49.95,18.15,430.5,20.4,85.1,3.59,12.13,,22.15,8.55,47.3,
2016-01-13 00:00:00,,,,,,,,,,,,,,,,,,1286.07
2016-01-13 18:00:00,8.38,238.0,41.35,47.75,35.35,235.0,50.0,18.0,440.0,20.7,84.3,3.56,12.15,,22.35,8.53,47.4,
2016-01-14 00:00:00,,,,,,,,,,,,,,,,,,1244.76
2016-01-14 18:00:00,8.25,231.0,40.4,46.15,33.9,225.5,48.8,17.5,426.0,20.45,83.3,3.44,11.7,,21.55,8.32,46.2,
2016-01-15 00:00:00,,,,,,,,,,,,,,,,,,1221.59
2016-01-15 18:00:00,8.1,225.5,39.7,45.7,32.65,220.0,47.4,17.2,426.0,20.0,81.8,3.35,11.5,,21.3,8.2,45.35,
2016-01-18 00:00:00,,,,,,,,,,,,,,,,,,1228.77
2016-01-18 18:00:00,7.99,225.5,39.65,45.225,32.7,223.5,46.7,16.6,440.0,19.75,80.5,3.34,11.31,,21.0,8.29,44.8,
2016-01-19 00:00:00,,,,,,,,,,,,,,,,,,1262.21
2016-01-19 18:00:00,8.2,231.0,39.9,45.95,33.9,233.0,48.1,16.9,450.0,20.35,82.6,3.45,11.47,,21.2,8.53,45.9,
2016-01-20 00:00:00,,,,,,,,,,,,,,,,,,1230.69
2016-01-20 18:00:00,8.13,226.5,38.95,45.05,33.3,224.0,46.9,16.8,430.0,20.1,82.2,3.41,11.47,,20.9,8.4,45.675,
2016-01-21 00:00:00,,,,,,,,,,,,,,,,,,1244.68
2016-01-21 18:00:00,8.37,229.0,38.95,45.6,33.95,228.0,47.2,17.0,430.5,20.3,83.0,3.52,11.5,,21.05,8.45,46.0,
2016-01-22 00:00:00,,,,,,,,,,,,,,,,,,1292.05
2016-01-22 18:00:00,8.57,234.5,39.2,46.15,34.8,235.0,47.8,17.1,480.0,20.6,83.6,3.55,11.69,,21.4,8.6,46.5,
2016-01-25 00:00:00,,,,,,,,,,,,,,,,,,1263.95
2016-01-25 18:00:00,8.48,235.0,37.75,46.1,34.55,235.0,47.35,17.1,440.5,20.7,83.5,3.55,11.7,,21.45,8.56,46.5,
2016-01-26 00:00:00,,,,,,,,,,,,,,,,,,1266.45
2016-01-26 18:00:00,8.43,236.0,37.75,45.8,34.8,236.5,46.8,17.1,440.5,20.65,83.1,3.58,11.75,,21.2,8.66,46.7,
2016-01-27 00:00:00,,,,,,,,,,,,,,,,,,1263.13
2016-01-27 18:00:00,8.5,236.0,38.35,46.25,34.45,232.5,46.35,17.1,440.5,20.9,83.1,3.6,11.61,,21.2,8.7,46.55,
2016-01-28 00:00:00,,,,,,,,,,,,,,,,,,1261.29
2016-01-28 18:00:00,8.48,233.0,38.0,46.15,34.25,231.0,46.45,17.1,445.0,20.85,83.6,3.555,11.61,,21.4,8.66,46.85,
2016-01-29 00:00:00,,,,,,,,,,,,,,,,,,1257.76
2016-01-29 18:00:00,8.54,232.0,38.45,46.15,34.35,235.5,46.9,17.0,430.0,20.65,82.6,3.58,11.62,,21.5,8.68,46.6,
2016-02-01 00:00:00,,,,,,,,,,,,,,,,,,1265.8
2016-02-01 18:00:00,8.6,230.0,37.9,45.8,34.7,237.0,47.6,17.0,441.0,20.65,82.6,3.58,11.5,,21.6,8.68,46.5,
2016-02-02 00:00:00,,,,,,,,,,,,,,,,,,1271.34
2016-02-02 18:00:00,8.62,233.0,38.0,45.5,34.95,234.5,48.9,17.0,450.0,20.6,82.3,3.56,11.57,,21.85,8.74,46.4,
2016-02-03 00:00:00,,,,,,,,,,,,,,,,,,1259.59
2016-02-03 18:00:00,8.62,235.5,38.4,45.8,34.6,236.5,48.65,17.0,427.0,20.6,82.3,3.57,11.54,,21.8,8.68,46.275,
2016-02-04 00:00:00,,,,,,,,,,,,,,,,,,1253.85
2016-02-04 18:00:00,8.51,231.0,38.3,45.8,34.6,230.0,49.8,16.75,430.5,20.5,82.5,3.55,11.5,,21.7,8.77,46.275,
2016-02-05 00:00:00,,,,,,,,,,,,,,,,,,1247.21
2016-02-05 18:00:00,8.47,231.5,38.4,45.3,34.2,229.5,51.4,16.75,424.0,20.4,83.0,3.56,11.48,,21.65,8.73,45.75,
2016-02-08 00:00:00,,,,,,,,,,,,,,,,,,1230.24
2016-02-08 18:00:00,8.37,229.0,37.9,44.4,32.9,228.5,51.2,16.15,424.0,20.35,81.1,3.5,11.25,,21.45,8.65,45.6,
2016-02-09 00:00:00,,,,,,,,,,,,,,,,,,1244.51
2016-02-09 18:00:00,8.35,230.0,37.7,44.6,35.15,229.0,51.7,16.15,423.0,20.35,80.4,3.49,11.3,,21.7,8.67,45.65,
2016-02-10 00:00:00,,,,,,,,,,,,,,,,,,1247.47
2016-02-10 18:00:00,8.4,233.5,37.6,44.5,35.7,230.0,52.75,16.0,420.0,19.95,80.0,3.49,11.25,,22.0,8.72,45.45,
2016-02-11 00:00:00,,,,,,,,,,,,,,,,,,1237.09
2016-02-11 18:00:00,8.24,228.5,37.45,43.75,35.15,226.5,52.8,15.2,420.0,19.8,79.9,3.5,11.4,,22.25,8.73,45.3,
2016-02-12 00:00:00,,,,,,,,,,,,,,,,,,1238.63
2016-02-12 18:00:00,8.19,232.0,37.45,44.0,34.85,224.5,53.15,15.2,420.0,19.8,82.5,3.51,11.75,,23.0,8.77,45.4,
2016-02-15 00:00:00,,,,,,,,,,,,,,,,,,1231.85
2016-02-15 18:00:00,8.15,230.0,37.45,43.95,34.45,226.5,54.0,15.25,412.0,19.8,81.6,3.5,11.7,,22.9,8.76,45.7,
2016-02-16 00:00:00,,,,,,,,,,,,,,,,,,1235.83
2016-02-16 18:00:00,8.22,228.5,37.05,43.8,34.55,226.0,54.2,15.25,420.0,19.8,81.8,3.55,11.56,,22.75,8.74,45.7,
2016-02-17 00:00:00,,,,,,,,,,,,,,,,,,1260.83
2016-02-17 18:00:00,8.1,229.0,37.3,44.35,35.025,230.0,53.9,15.25,448.0,19.65,82.8,3.56,11.69,,22.8,8.77,45.8,
2016-02-18 00:00:00,,,,,,,,,,,,,,,,,,1252.05
2016-02-18 18:00:00,8.03,229.5,37.3,44.4,34.9,227.5,54.6,15.35,440.0,19.65,83.8,3.43,11.69,,22.7,8.7,44.85,
2016-02-19 00:00:00,,,,,,,,,,,,,,,,,,1260.0
2016-02-19 18:00:00,7.94,229.5,37.0,44.0,35.05,229.5,54.6,15.35,454.0,19.55,83.7,3.41,11.59,,22.5,8.59,45.0,
2016-02-22 00:00:00,,,,,,,,,,,,,,,,,,1265.31
2016-02-22 18:00:00,8.03,233.0,37.0,44.8,35.3,233.0,55.8,15.35,450.0,19.6,84.2,3.33,11.7,,22.525,8.58,44.8,
2016-02-23 00:00:00,,,,,,,,,,,,,,,,,,1278.09
2016-02-23 18:00:00,8.15,235.0,37.45,45.35,35.9,236.5,57.4,15.25,450.0,20.0,83.7,3.32,12.15,,22.75,8.7,45.85,
2016-02-24 00:00:00,,,,,,,,,,,,,,,,,,1262.76
2016-02-24 18:00:00,8.05,236.0,37.15,45.45,35.55,235.5,57.5,15.425,430.5,19.95,84.05,3.32,12.1,,22.75,8.57,45.5,
2016-02-25 00:00:00,,,,,,,,,,,,,,,,,,1289.21
2016-02-25 18:00:00,8.14,238.0,37.8,46.15,36.05,243.0,58.6,15.6,445.0,20.125,84.6,3.26,12.43,,23.1,9.36,46.05,
2016-02-26 00:00:00,,,,,,,,,,,,,,,,,,1292.12
2016-02-26 18:00:00,8.3,234.0,38.5,46.45,36.95,245.5,58.4,16.05,430.0,20.35,84.5,3.3,12.55,,23.0,9.4,47.0,
2016-02-29 00:00:00,,,,,,,,,,,,,,,,,,1293.6
2016-02-29 18:00:00,8.25,232.0,38.275,46.9,37.0,246.0,59.1,16.0,430.0,20.55,84.75,3.28,12.85,,22.85,9.5,46.75,
2016-03-01 00:00:00,,,,,,,,,,,,,,,,,,1312.77
2016-03-01 18:00:00,8.46,231.0,38.0,47.6,37.3,247.0,58.5,16.0,455.0,20.75,85.5,3.3,12.67,,22.85,9.58,46.7,
2016-03-02 00:00:00,,,,,,,,,,,,,,,,,,1314.29
2016-03-02 18:00:00,8.52,231.0,38.45,48.0,37.2,246.0,59.3,17.0,455.0,20.95,85.1,3.27,12.98,,23.0,9.5,47.0,
2016-03-03 00:00:00,,,,,,,,,,,,,,,,,,1310.79
2016-03-03 18:00:00,8.4,230.0,38.475,48.0,37.375,243.0,59.3,17.3,455.0,20.9,84.6,3.26,12.95,,23.15,9.33,46.65,
2016-03-04 00:00:00,,,,,,,,,,,,,,,,,,1313.78
2016-03-04 18:00:00,8.39,231.0,38.475,48.2,37.3,245.0,58.7,17.3,455.0,20.9,85.2,3.22,13.09,,23.85,9.33,47.1,
2016-03-07 00:00:00,,,,,,,,,,,,,,,,,,1314.73
2016-03-07 18:00:00,8.57,231.0,38.5,48.25,37.5,244.5,59.0,16.9,455.0,21.1,84.8,3.17,13.0,,23.7,9.48,46.7,
2016-03-08 00:00:00,,,,,,,,,,,,,,,,,,1307.81
2016-03-08 18:00:00,8.46,229.5,38.3,47.85,37.65,240.0,59.5,17.3,455.0,20.9,84.8,3.15,12.83,,23.5,9.22,46.1,
2016-03-09 00:00:00,,,,,,,,,,,,,,,,,,1311.38
2016-03-09 18:00:00,8.52,231.0,38.75,47.95,37.65,242.0,60.0,17.3,455.0,20.85,84.95,3.11,12.86,,23.35,9.33,45.875,
2016-03-10 00:00:00,,,,,,,,,,,,,,,,,,1318.8
2016-03-10 18:00:00,8.52,233.0,38.75,48.7,37.9,244.5,62.4,17.3,459.0,21.15,85.2,3.11,12.36,,23.2,8.98,45.875,
2016-03-11 00:00:00,,,,,,,,,,,,,,,,,,1315.27
2016-03-11 18:00:00,8.5,234.0,38.6,48.85,37.35,243.0,63.0,17.3,459.0,21.0,84.8,3.16,12.64,,23.0,9.18,46.2,
2016-03-14 00:00:00,,,,,,,,,,,,,,,,,,1309.1
2016-03-14 18:00:00,8.54,238.5,38.6,49.0,37.7,245.5,63.1,17.3,438.5,21.2,84.2,3.22,12.21,,23.0,9.14,45.9,
2016-03-15 00:00:00,,,,,,,,,,,,,,,,,,1324.99
2016-03-15 18:00:00,8.52,237.5,39.05,49.5,38.35,243.0,65.0,17.3,457.0,21.5,84.2,3.25,12.3,,23.3,9.07,45.85,
2016-03-16 00:00:00,,,,,,,,,,,,,,,,,,1309.15
2016-03-16 18:00:00,8.46,237.5,38.6,48.9,37.75,240.0,65.6,17.3,442.0,21.45,85.0,3.27,12.6,,23.05,9.15,45.45,
2016-03-17 00:00:00,,,,,,,,,,,,,,,,,,1303.23
2016-03-17 18:00:00,8.45,237.25,39.05,48.4,37.75,241.0,62.0,17.3,440.5,21.4,84.0,3.24,12.55,,23.05,8.16,45.4,
2016-03-18 00:00:00,,,,,,,,,,,,,,,,,,1304.31
2016-03-18 18:00:00,8.53,232.0,39.05,49.2,37.95,243.0,62.0,17.3,440.5,21.6,84.0,3.145,12.72,,21.3,8.08,45.5,
2016-03-21 00:00:00,,,,,,,,,,,,,,,,,,1301.38
2016-03-21 18:00:00,8.54,231.5,38.825,49.1,37.75,242.5,62.3,16.9,441.0,21.45,83.5,3.19,12.72,,21.3,7.97,45.45,
2016-03-22 00:00:00,,,,,,,,,,,,,,,,,,1299.56
2016-03-22 18:00:00,8.52,234.5,39.0,48.65,37.2,242.5,62.3,16.9,441.0,22.0,83.3,3.17,12.93,,21.6,7.99,45.4,
2016-03-23 00:00:00,,,,,,,,,,,,,,,,,,1299.03
2016-03-23 18:00:00,8.61,233.75,39.0,48.8,37.1,241.0,61.5,16.9,441.0,22.4,84.05,3.18,12.95,,21.6,7.99,45.1,
