Date,AUD-ISK_Price,AUD-ISK_Open,AUD-ISK_High,AUD-ISK_Low,CAD-ISK_Price,CAD-ISK_Open,CAD-ISK_High,CAD-ISK_Low,CHF-ISK_Price,CHF-ISK_Open,CHF-ISK_High,CHF-ISK_Low,CNY-ISK_Price,CNY-ISK_Open,CNY-ISK_High,CNY-ISK_Low,DKK-ISK_Price,DKK-ISK_Open,DKK-ISK_High,DKK-ISK_Low,EUR-ISK_Price,EUR-ISK_Open,EUR-ISK_High,EUR-ISK_Low,GBP-ISK_Price,GBP-ISK_Open,GBP-ISK_High,GBP-ISK_Low,INR-ISK_Price,INR-ISK_Open,INR-ISK_High,INR-ISK_Low,JPY-ISK_Price,JPY-ISK_Open,JPY-ISK_High,JPY-ISK_Low,NOK-ISK_Price,NOK-ISK_Open,NOK-ISK_High,NOK-ISK_Low,NZD-ISK_Price,NZD-ISK_Open,NZD-ISK_High,NZD-ISK_Low,PLN-ISK_Price,PLN-ISK_Open,PLN-ISK_High,PLN-ISK_Low,RUB-ISK_Price,RUB-ISK_Open,RUB-ISK_High,RUB-ISK_Low,SEK-ISK_Price,SEK-ISK_Open,SEK-ISK_High,SEK-ISK_Low,USD-ISK_Price,USD-ISK_Open,USD-ISK_High,USD-ISK_Low
2010-01-01,112.4,112.04,112.66,112.03,119.06,118.52,119.38,118.49,121.05,120.64,121.37,120.61,17.89,17.96,17.96,17.89,24.1155,24.044,24.1715,24.029,179.455,178.93,179.895,178.84,202.56,201.78,203.0,201.64,2.6193,2.6427,2.6427,2.4354,1.3466,1.3434,1.3505,1.3416,21.66,21.52,21.71,21.47,90.94,90.3,91.14,90.13,43.95,43.52,44.18,43.41,4.0568,4.0748,4.0748,4.0282,17.495,17.459,17.572,17.422,125.265,125.15,125.565,124.89
2010-01-03,109.89,109.95,110.07,109.82,116.92,116.28,116.93,116.28,118.22,118.02,118.29,118.01,17.94,17.92,17.94,17.91,,,,,,,,,,,,,2.6266,2.6242,2.6266,2.6233,1.3203,1.3147,1.3206,1.314,21.15,21.12,21.16,21.11,88.63,88.62,88.76,88.6,42.61,42.54,42.63,42.53,4.0681,4.0641,4.0681,4.0631,,,,,,,,
2010-01-04,113.97,112.24,114.37,111.85,119.89,118.73,121.0,118.7,121.28,120.66,121.74,120.15,17.86,17.94,17.97,17.83,24.1855,24.013,24.2805,23.971,179.795,178.95,180.635,178.39,201.03,202.0,203.68,199.91,2.6339,2.6266,2.6409,2.6261,1.3489,1.3427,1.3576,1.3394,21.87,21.53,21.96,21.49,91.74,90.39,91.86,90.0,44.0,43.27,44.39,43.15,4.0221,4.0681,4.0754,4.0092,17.6815,17.426,17.8145,17.404,124.885,124.94,125.735,124.02
2010-01-05,114.17,114.06,114.65,113.18,120.52,119.47,121.05,119.3,121.19,120.86,121.79,120.44,17.81,17.86,17.86,17.76,24.1665,24.105,24.2815,24.067,180.025,179.38,180.655,179.17,200.22,200.32,201.82,198.84,2.6351,2.6339,2.6417,2.623,1.3647,1.3495,1.3733,1.3441,21.92,21.86,21.94,21.77,91.92,91.68,92.36,90.97,43.96,43.91,44.41,43.67,4.0389,4.0221,4.0721,4.0162,17.6105,17.703,17.7285,17.519,125.165,124.9,125.815,123.79
2010-01-06,114.94,113.84,115.06,113.6,121.12,120.62,121.62,119.95,121.61,120.66,122.12,120.46,17.72,17.81,17.82,17.68,24.256,24.177,24.27,24.038,180.125,179.26,180.685,178.89,200.26,199.56,202.26,199.1,2.6457,2.6351,2.6469,2.6293,1.3532,1.366,1.3754,1.345,22.06,21.91,22.13,21.75,92.2,92.03,92.3,91.27,43.98,43.94,44.03,43.12,4.0196,4.0389,4.0668,4.0169,17.715,17.598,17.748,17.431,124.965,125.28,126.365,124.48
2010-01-07,115.14,114.89,116.2,114.5,122.02,120.73,122.4,120.5,122.19,121.22,122.45,120.74,17.73,17.72,17.79,17.72,24.1715,24.126,24.3415,24.076,179.845,179.54,181.095,179.21,200.18,199.51,201.61,198.89,2.6491,2.6457,2.6616,2.6426,1.3462,1.3498,1.3636,1.3412,22.07,21.98,22.09,21.82,92.02,92.14,92.83,91.56,43.91,43.98,44.15,43.3,4.0216,4.0196,4.0669,4.0193,17.642,17.611,17.784,17.531,126.27,124.63,126.51,124.39
2010-01-08,115.58,115.37,115.97,114.62,121.35,121.5,122.47,120.74,122.14,121.56,122.28,120.99,17.7,17.73,17.82,17.67,24.2165,24.182,24.2925,24.081,180.19,179.32,181.15,179.21,200.37,200.27,202.7,199.5,2.6515,2.6491,2.6626,2.6426,1.3496,1.3423,1.3631,1.3371,22.06,22.01,22.15,21.9,92.09,92.0,92.69,91.49,44.34,43.76,44.36,43.45,4.043,4.0216,4.0738,4.0179,17.668,17.563,17.739,17.535,125.005,125.7,126.525,124.5
2010-01-10,112.05,111.95,112.15,111.92,117.23,117.19,117.33,116.97,118.01,117.83,118.18,117.79,17.64,17.66,17.67,17.64,,,,,,,,,,,,,2.6451,2.648,2.6499,2.6451,1.3034,1.3022,1.3063,1.3022,21.34,21.29,21.37,21.28,89.13,89.17,89.26,89.12,42.84,42.74,42.87,42.73,4.0007,4.0056,4.008,4.0007,,,,,,,,
2010-01-11,115.85,115.84,116.45,114.94,120.28,121.2,121.87,119.75,122.34,121.9,122.8,121.45,17.6,17.64,17.64,17.56,24.2605,24.167,24.2825,24.136,180.485,179.87,181.135,179.64,200.275,200.31,201.115,199.38,2.6489,2.6451,2.6557,2.6423,1.351,1.3463,1.3523,1.3387,22.16,22.01,22.27,21.97,92.43,92.2,92.76,91.47,44.39,44.08,44.59,43.94,4.0977,4.0007,4.1024,3.9937,17.6975,17.597,17.7845,17.565,124.365,124.65,125.425,123.68
2010-01-12,114.19,115.25,116.15,113.48,119.35,119.95,121.04,118.81,121.92,121.96,122.96,121.05,17.62,17.6,17.63,17.57,24.22,24.177,24.298,24.028,179.845,179.94,181.305,178.83,200.68,199.69,201.8,199.13,2.6369,2.6491,2.6536,2.6234,1.3639,1.3454,1.3731,1.3413,21.94,22.08,22.26,21.83,91.67,92.29,92.79,91.1,44.1,44.35,44.57,43.7,4.0684,4.0981,4.1049,4.062,17.5875,17.641,17.7615,17.458,124.075,123.98,125.225,123.38
