Dagsetning,Interbank foreign exchange market - Daily turnover; Turnover in EUR (M euros),Interbank foreign exchange market - Daily turnover; Turnover in ISK,CBI's interest rates; Overnight CBI rates,CBI's interest rates; 7 day collateralised lending rate,CBI's interest rates; CBI current account rates,CBI's interest rates; Required reserves,CBI's interest rates; 7 day term deposits,Vextir Seðlabankans; Daglánavextir,Vextir Seðlabankans; Vextir á veðlánum,Vextir Seðlabankans; Vextir á viðskiptareikningum innlánsstofnana,Vextir Seðlabankans; Vextir af bindiskyldum innstæðum,Vextir Seðlabankans; Bundin innlán til 7 daga,Vextir á millibankamarkaði með krónur; ,Interest rates in the interbank market in ISK; 
04/01/2010,0,0,11.50%,10.00%,8.50%,8.50%,,11.50%,10.00%,8.50%,8.50%,,9.00%,9.00%
05/01/2010,0,0,11.50%,10.00%,8.50%,8.50%,,11.50%,10.00%,8.50%,8.50%,,9.00%,9.00%
06/01/2010,0,0,11.50%,10.00%,8.50%,8.50%,,11.50%,10.00%,8.50%,8.50%,,9.00%,9.00%
07/01/2010,0,0,11.50%,10.00%,8.50%,8.50%,,11.50%,10.00%,8.50%,8.50%,,9.00%,9.00%
08/01/2010,1,180,11.50%,10.00%,8.50%,8.50%,,11.50%,10.00%,8.50%,8.50%,,9.00%,9.00%
11/01/2010,0,0,11.50%,10.00%,8.50%,8.50%,,11.50%,10.00%,8.50%,8.50%,,9.00%,9.00%
12/01/2010,1,180,11.50%,10.00%,8.50%,8.50%,,11.50%,10.00%,8.50%,8.50%,,9.00%,9.00%
13/01/2010,0,0,11.50%,10.00%,8.50%,8.50%,,11.50%,10.00%,8.50%,8.50%,,9.00%,9.00%
14/01/2010,1,180,11.50%,10.00%,8.50%,8.50%,,11.50%,10.00%,8.50%,8.50%,,9.00%,9.00%
15/01/2010,0,0,11.50%,10.00%,8.50%,8.50%,,11.50%,10.00%,8.50%,8.50%,,9.00%,9.00%
18/01/2010,0,0,11.50%,10.00%,8.50%,8.50%,,11.50%,10.00%,8.50%,8.50%,,9.00%,9.00%
19/01/2010,0,0,11.50%,10.00%,8.50%,8.50%,,11.50%,10.00%,8.50%,8.50%,,9.00%,9.00%
20/01/2010,0,0,11.50%,10.00%,8.50%,8.50%,,11.50%,10.00%,8.50%,8.50%,,9.00%,9.00%
21/01/2010,0,0,11.50%,10.00%,8.50%,8.50%,,11.50%,10.00%,8.50%,8.50%,,9.00%,9.00%
22/01/2010,0,0,11.50%,10.00%,8.50%,8.50%,,11.50%,10.00%,8.50%,8.50%,,9.00%,9.00%
25/01/2010,0,0,11.50%,10.00%,8.50%,8.50%,,11.50%,10.00%,8.50%,8.50%,,9.00%,9.00%
26/01/2010,0,0,11.50%,10.00%,8.50%,8.50%,,11.50%,10.00%,8.50%,8.50%,,9.00%,9.00%
27/01/2010,0,0,11.00%,9.50%,8.00%,8.00%,,11.00%,9.50%,8.00%,8.00%,,8.50%,8.50%
28/01/2010,2,357,11.00%,9.50%,8.00%,8.00%,,11.00%,9.50%,8.00%,8.00%,,8.50%,8.50%
29/01/2010,2,355,11.00%,9.50%,8.00%,8.00%,,11.00%,9.50%,8.00%,8.00%,,8.50%,8.50%
01/02/2010,0,0,11.00%,9.50%,8.00%,8.00%,,11.00%,9.50%,8.00%,8.00%,,8.50%,8.50%
02/02/2010,2,354,11.00%,9.50%,8.00%,8.00%,,11.00%,9.50%,8.00%,8.00%,,9.00%,9.00%
03/02/2010,0,0,11.00%,9.50%,8.00%,8.00%,,11.00%,9.50%,8.00%,8.00%,,8.60%,8.60%
04/02/2010,0,0,11.00%,9.50%,8.00%,8.00%,,11.00%,9.50%,8.00%,8.00%,,8.50%,8.50%
05/02/2010,0,0,11.00%,9.50%,8.00%,8.00%,,11.00%,9.50%,8.00%,8.00%,,8.50%,8.50%
08/02/2010,0,0,11.00%,9.50%,8.00%,8.00%,,11.00%,9.50%,8.00%,8.00%,,8.60%,8.60%
09/02/2010,0,0,11.00%,9.50%,8.00%,8.00%,,11.00%,9.50%,8.00%,8.00%,,8.75%,8.75%
10/02/2010,0,0,11.00%,9.50%,8.00%,8.00%,,11.00%,9.50%,8.00%,8.00%,,8.60%,8.60%
11/02/2010,0,0,11.00%,9.50%,8.00%,8.00%,,11.00%,9.50%,8.00%,8.00%,,8.75%,8.75%
12/02/2010,0,0,11.00%,9.50%,8.00%,8.00%,,11.00%,9.50%,8.00%,8.00%,,8.75%,8.75%
15/02/2010,1,175,11.00%,9.50%,8.00%,8.00%,,11.00%,9.50%,8.00%,8.00%,,8.50%,8.50%
16/02/2010,1,175,11.00%,9.50%,8.00%,8.00%,,11.00%,9.50%,8.00%,8.00%,,8.50%,8.50%
17/02/2010,0,0,11.00%,9.50%,8.00%,8.00%,,11.00%,9.50%,8.00%,8.00%,,8.50%,8.50%
18/02/2010,0,0,11.00%,9.50%,8.00%,8.00%,,11.00%,9.50%,8.00%,8.00%,,8.75%,8.75%
19/02/2010,0,0,11.00%,9.50%,8.00%,8.00%,,11.00%,9.50%,8.00%,8.00%,,8.75%,8.75%
22/02/2010,0,0,11.00%,9.50%,8.00%,8.00%,,11.00%,9.50%,8.00%,8.00%,,8.75%,8.75%
23/02/2010,0,0,11.00%,9.50%,8.00%,8.00%,,11.00%,9.50%,8.00%,8.00%,,8.75%,8.75%
24/02/2010,0,0,11.00%,9.50%,8.00%,8.00%,,11.00%,9.50%,8.00%,8.00%,,8.75%,8.75%
25/02/2010,0,0,11.00%,9.50%,8.00%,8.00%,,11.00%,9.50%,8.00%,8.00%,,8.75%,8.75%
26/02/2010,0,0,11.00%,9.50%,8.00%,8.00%,,11.00%,9.50%,8.00%,8.00%,,8.75%,8.75%
01/03/2010,0,0,11.00%,9.50%,8.00%,8.00%,,11.00%,9.50%,8.00%,8.00%,,8.75%,8.75%
02/03/2010,1,174,11.00%,9.50%,8.00%,8.00%,,11.00%,9.50%,8.00%,8.00%,,8.75%,8.75%
03/03/2010,0,0,11.00%,9.50%,8.00%,8.00%,,11.00%,9.50%,8.00%,8.00%,,8.75%,8.75%
04/03/2010,0,0,11.00%,9.50%,8.00%,8.00%,,11.00%,9.50%,8.00%,8.00%,,8.60%,8.60%
05/03/2010,0,0,11.00%,9.50%,8.00%,8.00%,,11.00%,9.50%,8.00%,8.00%,,8.60%,8.60%
08/03/2010,0,0,11.00%,9.50%,8.00%,8.00%,,11.00%,9.50%,8.00%,8.00%,,8.60%,8.60%
09/03/2010,0,0,11.00%,9.50%,8.00%,8.00%,,11.00%,9.50%,8.00%,8.00%,,8.60%,8.60%
10/03/2010,0,0,11.00%,9.50%,8.00%,8.00%,,11.00%,9.50%,8.00%,8.00%,,8.60%,8.60%
11/03/2010,1,173,11.00%,9.50%,8.00%,8.00%,,11.00%,9.50%,8.00%,8.00%,,8.60%,8.60%
12/03/2010,1,173,11.00%,9.50%,8.00%,8.00%,,11.00%,9.50%,8.00%,8.00%,,8.60%,8.60%
15/03/2010,1,172,11.00%,9.50%,8.00%,8.00%,,11.00%,9.50%,8.00%,8.00%,,8.60%,8.60%
16/03/2010,0,0,11.00%,9.50%,8.00%,8.00%,,11.00%,9.50%,8.00%,8.00%,,8.60%,8.60%
17/03/2010,0,0,10.50%,9.00%,7.50%,7.50%,,10.50%,9.00%,7.50%,7.50%,,8.10%,8.10%
18/03/2010,0,0,10.50%,9.00%,7.50%,7.50%,,10.50%,9.00%,7.50%,7.50%,,8.00%,8.00%
19/03/2010,0,0,10.50%,9.00%,7.50%,7.50%,,10.50%,9.00%,7.50%,7.50%,,8.00%,8.00%
22/03/2010,1,172,10.50%,9.00%,7.50%,7.50%,,10.50%,9.00%,7.50%,7.50%,,8.00%,8.00%
23/03/2010,1,173,10.50%,9.00%,7.50%,7.50%,,10.50%,9.00%,7.50%,7.50%,,8.00%,8.00%
24/03/2010,2,345,10.50%,9.00%,7.50%,7.50%,,10.50%,9.00%,7.50%,7.50%,,8.00%,8.00%
25/03/2010,0,0,10.50%,9.00%,7.50%,7.50%,,10.50%,9.00%,7.50%,7.50%,,8.00%,8.00%
26/03/2010,0,0,10.50%,9.00%,7.50%,7.50%,,10.50%,9.00%,7.50%,7.50%,,8.00%,8.00%
29/03/2010,0,0,10.50%,9.00%,7.50%,7.50%,,10.50%,9.00%,7.50%,7.50%,,8.00%,8.00%
30/03/2010,0,0,10.50%,9.00%,7.50%,7.50%,,10.50%,9.00%,7.50%,7.50%,,8.00%,8.00%
31/03/2010,1,172,10.50%,9.00%,7.50%,7.50%,,10.50%,9.00%,7.50%,7.50%,,8.00%,8.00%
01/04/2010,,,,,,,,,,,,,,
02/04/2010,,,,,,,,,,,,,,
05/04/2010,,,,,,,,,,,,,,
06/04/2010,0,0,10.50%,9.00%,7.50%,7.50%,,10.50%,9.00%,7.50%,7.50%,,8.00%,8.00%
07/04/2010,0,0,10.50%,9.00%,7.50%,7.50%,,10.50%,9.00%,7.50%,7.50%,,8.00%,8.00%
08/04/2010,0,0,10.50%,9.00%,7.50%,7.50%,,10.50%,9.00%,7.50%,7.50%,,8.00%,8.00%
09/04/2010,0,0,10.50%,9.00%,7.50%,7.50%,,10.50%,9.00%,7.50%,7.50%,,8.00%,8.00%
12/04/2010,1,171,10.50%,9.00%,7.50%,7.50%,,10.50%,9.00%,7.50%,7.50%,,8.00%,8.00%
13/04/2010,0,0,10.50%,9.00%,7.50%,7.50%,,10.50%,9.00%,7.50%,7.50%,,8.00%,8.00%
14/04/2010,0,0,10.50%,9.00%,7.50%,7.50%,,10.50%,9.00%,7.50%,7.50%,,8.00%,8.00%
15/04/2010,0,0,10.50%,9.00%,7.50%,7.50%,,10.50%,9.00%,7.50%,7.50%,,8.00%,8.00%
16/04/2010,0,0,10.50%,9.00%,7.50%,7.50%,,10.50%,9.00%,7.50%,7.50%,,8.00%,8.00%
19/04/2010,0,0,10.50%,9.00%,7.50%,7.50%,,10.50%,9.00%,7.50%,7.50%,,8.00%,8.00%
20/04/2010,0,0,10.50%,9.00%,7.50%,7.50%,,10.50%,9.00%,7.50%,7.50%,,8.00%,8.00%
21/04/2010,1,171,10.50%,9.00%,7.50%,7.50%,,10.50%,9.00%,7.50%,7.50%,,8.00%,8.00%
22/04/2010,,,,,,,,,,,,,,
23/04/2010,0,0,10.50%,9.00%,7.50%,7.50%,,10.50%,9.00%,7.50%,7.50%,,8.00%,8.00%
26/04/2010,0,0,10.50%,9.00%,7.50%,7.50%,,10.50%,9.00%,7.50%,7.50%,,8.00%,8.00%
27/04/2010,0,0,10.50%,9.00%,7.50%,7.50%,,10.50%,9.00%,7.50%,7.50%,,8.00%,8.00%
28/04/2010,0,0,10.50%,9.00%,7.50%,7.50%,,10.50%,9.00%,7.50%,7.50%,,8.00%,8.00%
29/04/2010,0,0,10.50%,9.00%,7.50%,7.50%,,10.50%,9.00%,7.50%,7.50%,,8.00%,8.00%
30/04/2010,1,170,10.50%,9.00%,7.50%,7.50%,,10.50%,9.00%,7.50%,7.50%,,8.00%,8.00%
03/05/2010,0,0,10.50%,9.00%,7.50%,7.50%,,10.50%,9.00%,7.50%,7.50%,,8.00%,8.00%
04/05/2010,4,674,10.50%,9.00%,7.50%,7.50%,,10.50%,9.00%,7.50%,7.50%,,8.00%,8.00%
05/05/2010,3,498,10.00%,8.50%,7.00%,7.00%,,10.00%,8.50%,7.00%,7.00%,,7.50%,7.50%
06/05/2010,2,330,10.00%,8.50%,7.00%,7.00%,,10.00%,8.50%,7.00%,7.00%,,7.50%,7.50%
07/05/2010,0,0,10.00%,8.50%,7.00%,7.00%,,10.00%,8.50%,7.00%,7.00%,,7.50%,7.50%
10/05/2010,0,0,10.00%,8.50%,7.00%,7.00%,,10.00%,8.50%,7.00%,7.00%,,7.50%,7.50%
11/05/2010,0,0,10.00%,8.50%,7.00%,7.00%,,10.00%,8.50%,7.00%,7.00%,,7.50%,7.50%
12/05/2010,1,164,10.00%,8.50%,7.00%,7.00%,,10.00%,8.50%,7.00%,7.00%,,7.50%,7.50%
13/05/2010,,,,,,,,,,,,,,
14/05/2010,0,0,10.00%,8.50%,7.00%,7.00%,,10.00%,8.50%,7.00%,7.00%,,7.50%,7.50%
17/05/2010,3,487,10.00%,8.50%,7.00%,7.00%,,10.00%,8.50%,7.00%,7.00%,,7.50%,7.50%
18/05/2010,0,0,10.00%,8.50%,7.00%,7.00%,,10.00%,8.50%,7.00%,7.00%,,7.60%,7.60%
19/05/2010,2.5,402,10.00%,8.50%,7.00%,7.00%,,10.00%,8.50%,7.00%,7.00%,,7.60%,7.60%
20/05/2010,0,0,10.00%,8.50%,7.00%,7.00%,,10.00%,8.50%,7.00%,7.00%,,7.50%,7.50%
21/05/2010,0,0,10.00%,8.50%,7.00%,7.00%,,10.00%,8.50%,7.00%,7.00%,,7.50%,7.50%
24/05/2010,,,,,,,,,,,,,,
