"ar_man";"alls";"fjolbyli";"serbyli";"nafnverd"
"2017-04";564,2;575,8;540,7;528,8
"2017-03";552,1;561,4;534,9;517,7
"2017-02";537,7;547,7;517,6;504,2
"2017-01";524,8;533,5;509;492
"2016-12";515,7;524,6;499,7;483,6
"2016-11";508,2;517,1;491,6;476,8
"2016-10";501,4;507,7;492,4;470,4
"2016-09";491,8;498,7;481,9;461,2
"2016-08";490,2;498,7;474,9;459,7
"2016-07";485,8;494,2;470,6;456,1
"2016-06";475,3;483,5;460,2;445,7
"2016-05";465,1;472,8;451,9;436,3
"2016-04";459,8;467,5;444,8;431,3
"2016-03";456,5;463;445,1;428,4
"2016-02";453,2;461,5;435,8;425,4
"2016-01";451,4;458,7;437;424,1
"2015-12";448,5;454,9;436,6;421,6
"2015-11";442,5;447,4;435,2;417,3
"2015-10";441,2;446,9;431,3;415,3
"2015-09";438,5;444,2;428,6;412,9
"2015-08";433,3;438,5;425;408,1
"2015-07";432,3;435,2;430,7;407,1
"2015-06";428,5;430,3;431,3;403,6
"2015-05";428,5;430,6;429,5;403,3
"2015-04";423,9;426,1;424,6;398,8
"2015-03";424,9;425,8;429,6;399,9
"2015-02";423,5;424,4;428,3;399,4
"2015-01";416,1;415,9;424,3;392,7
"2014-12";411,9;412,3;418,2;388,3
"2014-11";403,7;407,7;398,4;380,8
"2014-10";401,1;405,3;395,7;377,9
"2014-09";401,2;405,9;394,6;378,3
"2014-08";400,8;404,6;397,4;378
"2014-07";390,8;388,4;406,2;370
"2014-06";389,7;393,3;386,7;368
"2014-05";392,9;393,4;399,3;371,4
"2014-04";393,4;392,6;404;372
"2014-03";390,5;389,1;403,2;369,6
"2014-02";382,2;380,2;396,2;361,4
"2014-01";376,8;374,7;391,1;356,4
"2013-12";375,7;375,2;385,3;355,4
"2013-11";377,5;377,8;384,6;357,4
"2013-10";376,2;373,9;391,3;356,3
"2013-09";370,1;369,1;381,4;350,7
"2013-08";366,8;361,2;391,2;347,3
"2013-07";367,3;361,9;391,3;347,7
"2013-06";364,9;360,9;385;346,2
"2013-05";358,4;354;379;340,7
"2013-04";353,8;348;378,6;336,8
"2013-03";351,5;346,4;374,8;334,7
"2013-02";351,5;347,1;372;334,8
"2013-01";350,7;347,4;367,9;333,2
"2012-12";351,7;347,6;371;333,9
"2012-11";350,2;343,1;378,6;332,7
"2012-10";348,8;341,2;378,9;331
"2012-09";345,8;339,1;372,9;328,1
"2012-08";343,5;336,5;371,6;326,6
"2012-07";344,3;339,2;366,5;327,5
"2012-06";341,3;335,2;366,9;325
"2012-05";336,4;331,1;359,3;320,4
"2012-04";335,3;327;367,5;319,1
"2012-03";336,2;327,8;368,9;319,4
"2012-02";332,2;324,9;361,3;316
"2012-01";333;324,9;364,9;316,7
"2011-12";332,5;324,9;362,3;316,3
"2011-11";329,5;320;365;313,3
"2011-10";329,5;321,7;359,8;313,4
"2011-09";326,1;316,9;361,5;309,6
"2011-08";321,8;312,1;358,2;305,5
"2011-07";320,8;311,3;357,2;304,8
"2011-06";321,2;312,8;354;305,8
"2011-05";319,6;313;346;303,8
"2011-04";311,3;306,4;332;295,4
"2011-03";309,2;303,7;331,6;293,4
"2011-02";308,1;301;335,8;292,9
"2011-01";304,9;297,5;333,9;290,3
"2010-12";302,6;294,4;334,5;292,2
"2010-11";306,3;298,2;338;295,2
"2010-10";306,5;297,6;341,4;297,8
"2010-09";303,9;296,2;334,5;296,2
"2010-08";302,8;296,6;327,5;293,3
"2010-07";302,8;296,9;325,4;293,1
"2010-06";306,7;299,3;336,2;296,5
"2010-05";308,9;302,4;334,3;299,8
"2010-04";303;290,8;354,7;293,5
"2010-03";303,5;292,9;347,3;293
"2010-02";302,1;292,7;340,8;291,7
"2010-01";303,3;295,7;333,7;294,7
"2009-12";302,1;296,6;323,1;294,4
"2009-11";309;300,6;343,1;298,8
"2009-10";313,7;303,8;353,7;304,2
"2009-09";313,9;302,5;359,7;303,7
"2009-08";314,1;302,3;361,5;302,9
"2009-07";311,7;301,3;353;300,7
"2009-06";310,7;296,6;365,9;298,1
"2009-05";312;301,1;354,6;301,1
"2009-04";314,2;306;346,4;301
"2009-03";322,6;313,1;359,8;308,2
"2009-02";335,5;327,2;368,1;320,5
"2009-01";337,6;327,5;376,8;320,4
"2008-12";343,2;332,4;385;325,6
"2008-11";347,7;336,3;391,9;330,8
"2008-10";348,7;338,8;386,8;337,4
"2008-09";349,4;339,2;388,8;338,5
"2008-08";350,1;339,8;389,8;339,7
"2008-07";351;340,5;391,9;340,7
"2008-06";348,3;337,9;388;340,2
"2008-05";348,5;340,1;381,3;334
"2008-04";346,7;336,2;386,8;331,7
"2008-03";352,7;345,1;382,9;338,9
"2008-02";354,1;346,4;384,5;341,3
