"ar_man";"Vísitala"
"2017-04";173,8
"2017-03";168,1
"2017-02";164
"2017-01";162,7
"2016-12";160,7
"2016-11";160,1
"2016-10";158,9
"2016-09";156,9
"2016-08";154,7
"2016-07";153
"2016-06";150
"2016-05";152,5
"2016-04";153,7
"2016-03";152,4
"2016-02";147,6
"2016-01";145,9
"2015-12";149
"2015-11";147,8
"2015-10";146,5
"2015-09";142,1
"2015-08";141,7
"2015-07";140,2
"2015-06";142,3
"2015-05";145,1
"2015-04";143,1
"2015-03";143,5
"2015-02";141,2
"2015-01";139,3
"2014-12";139,4
"2014-11";140,1
"2014-10";139,5
"2014-09";138,6
"2014-08";137,6
"2014-07";137,7
"2014-06";133,8
"2014-05";133,2
"2014-04";132,7
"2014-03";132,6
"2014-02";129,4
"2014-01";128,9
"2013-12";129,7
"2013-11";129,5
"2013-10";128,3
"2013-09";129,9
"2013-08";128,8
"2013-07";126
"2013-06";123,9
"2013-05";122,8
"2013-04";121,5
"2013-03";122,5
"2013-02";121,6
"2013-01";118,7
"2012-12";118,1
"2012-11";119,1
"2012-10";118,4
"2012-09";118,7
"2012-08";118,7
"2012-07";117,2
"2012-06";113,6
"2012-05";111,1
"2012-04";113
"2012-03";112,3
"2012-02";109,9
"2012-01";111
"2011-12";111
"2011-11";110,5
"2011-10";108,9
"2011-09";108
"2011-08";107,3
"2011-07";105,5
"2011-06";106
"2011-05";104,6
"2011-04";102,6
"2011-03";101,4
"2011-02";100,3
"2011-01";100
