Date,DAX_Price,DAX_Open,DAX_High,DAX_Low,DAX_Volume,DJI_Price,DJI_Open,DJI_High,DJI_Low,DJI_Volume,FCHI_Price,FCHI_Open,FCHI_High,FCHI_Low,FCHI_Volume,FTSE_Price,FTSE_Open,FTSE_High,FTSE_Low,FTSE_Volume,IBEX_Price,IBEX_Open,IBEX_High,IBEX_Low,IBEX_Volume,IXIC_Price,IXIC_Open,IXIC_High,IXIC_Low,IXIC_Volume,N225_Price,N225_Open,N225_High,N225_Low,N225_Volume,NOMXIBB_Price,NOMXIBB_Open,NOMXIBB_High,NOMXIBB_Low,NOMXIBB_Volume,NOMXINOM_Price,NOMXINOM_Open,NOMXINOM_High,NOMXINOM_Low,NOMXINOM_Volume,NOMXIREAL_Price,NOMXIREAL_Open,NOMXIREAL_High,NOMXIREAL_Low,NOMXIREAL_Volume,OMXC20_Price,OMXC20_Open,OMXC20_High,OMXC20_Low,OMXC20_Volume,OMXI8_Price,OMXI8_Open,OMXI8_High,OMXI8_Low,OMXI8_Volume,OMXIGI_Price,OMXIGI_Open,OMXIGI_High,OMXIGI_Low,OMXIGI_Volume,OMXIMCPI_Price,OMXIMCPI_Open,OMXIMCPI_High,OMXIMCPI_Low,OMXIMCPI_Volume,OMXIPI_Price,OMXIPI_Open,OMXIPI_High,OMXIPI_Low,OMXIPI_Volume,OMXISCPI_Price,OMXISCPI_Open,OMXISCPI_High,OMXISCPI_Low,OMXISCPI_Volume,OMXS30_Price,OMXS30_Open,OMXS30_High,OMXS30_Low,OMXS30_Volume,PSI20_Price,PSI20_Open,PSI20_High,PSI20_Low,PSI20_Volume,SSMI_Price,SSMI_Open,SSMI_High,SSMI_Low,SSMI_Volume,STOXX50E_Price,STOXX50E_Open,STOXX50E_High,STOXX50E_Low,STOXX50E_Volume,VIX_Price,VIX_Open,VIX_High,VIX_Low,VIX_Volume
2010-01-04,6048.3,5975.52,6048.3,5974.43,-,10583.96,10430.69,10641.62,10430.69,-,4013.97,3952.21,4013.97,3950.61,-,5500.3,5412.9,5500.3,5410.8,-,12145.1,11986.5,12145.1,11986.1,-,2308.42,2294.41,2311.15,2294.41,537.70M,10654.79,10609.34,10694.49,10608.14,-,,,,,,,,,,,,,,,,347.85,336.75,347.85,336.75,-,811.05,812.4,813.39,807.07,-,,,,,,35.74,35.81,35.86,35.54,-,494.04,494.87,495.47,491.62,-,94.3,94.31,94.31,94.29,-,963.56,951.72,964.73,951.72,82.52M,,,,,,6631.44,6578.45,6631.44,6575.96,59.58M,,,,,,,,,,
2010-01-05,6031.86,6043.94,6058.02,6015.67,-,10572.02,10584.56,10647.14,10468.86,-,4012.91,4012.43,4028.34,3993.33,-,5522.5,5500.3,5536.4,5480.7,-,12204.4,12141.8,12240.5,12139.8,-,2308.71,2307.27,2313.73,2295.62,630.43M,10681.83,10719.44,10791.04,10655.57,-,,,,,,,,,,,,,,,,345.14,347.97,348.36,343.5,-,811.3,808.13,814.47,806.4,-,,,,,,35.78,35.59,35.94,35.53,-,494.47,492.26,496.4,491.51,-,94.18,94.3,94.3,94.18,-,967.27,964.03,968.68,961.46,62.74M,,,,,,6579.26,6620.66,6622.36,6547.43,67.87M,,,,,,,,,,
2010-01-06,6034.33,6032.39,6047.57,5997.09,-,10573.68,10564.72,10655.22,10488.28,-,4017.67,4014.45,4022.94,3996.8,-,5530.0,5522.5,5536.5,5497.6,-,12222.5,12216.4,12230.7,12147.6,-,2301.09,2307.71,2314.07,2295.68,609.15M,10731.45,10709.55,10768.61,10661.17,-,,,,,,,,,,,,,,,,346.37,345.18,347.55,344.97,-,817.01,810.88,817.79,810.32,-,,,,,,36.06,35.77,36.1,35.73,-,497.8,494.25,498.29,493.87,-,94.18,94.11,94.2,94.11,-,,,,,,,,,,,6559.41,6598.18,6607.79,6550.1,54.03M,,,,,,,,,,
2010-01-07,6019.36,6016.8,6037.57,5961.25,-,10606.86,10571.11,10655.6,10471.73,-,4024.8,4005.96,4032.24,3983.9,-,5526.7,5530.0,5551.7,5499.8,-,12166.3,12163.0,12199.7,12079.1,-,2300.05,2298.09,2301.3,2285.22,623.54M,10681.66,10742.75,10774.0,10636.67,-,,,,,,,,,,,,,,,,351.28,346.28,351.73,345.28,-,815.08,817.3,817.3,815.08,-,,,,,,36.08,36.07,36.09,35.99,-,498.04,497.95,498.24,497.06,-,94.19,94.23,94.23,94.19,-,965.82,967.39,970.26,962.27,132.59M,,,,,,6555.36,6536.5,6574.16,6494.9,67.84M,,,,,,,,,,
2010-01-08,6037.61,6028.62,6053.04,5972.24,-,10618.19,10606.4,10653.11,10509.74,-,4045.14,4042.64,4051.41,4013.34,-,5534.2,5526.7,5549.3,5494.8,-,12163.0,12218.0,12232.2,12079.9,-,2317.17,2292.24,2317.6,2290.61,580.24M,10798.32,10743.3,10816.45,10677.56,-,,,,,,,,,,,,,,,,353.23,351.28,353.77,351.28,-,819.03,815.87,820.79,815.78,-,,,,,,36.48,36.1,36.49,36.1,-,502.97,498.45,503.17,498.45,-,94.36,94.32,94.42,94.31,-,973.44,965.7,974.9,965.7,108.70M,,,,,,6617.88,6574.67,6635.78,6573.95,76.09M,,,,,,,,,,
2010-01-11,6040.5,6057.93,6094.26,6031.14,-,10663.99,10620.31,10739.87,10538.91,-,4043.09,4071.4,4088.18,4039.33,-,5538.1,5534.2,5600.5,5527.9,-,12074.5,12192.5,12233.9,12066.1,-,2312.41,2324.78,2326.28,2302.21,546.09M,,,,,,,,,,,,,,,,,,,,,359.54,353.65,363.0,353.65,-,820.72,819.02,822.3,817.32,-,,,,,,36.76,36.52,36.83,36.52,-,505.14,503.49,505.99,502.96,-,92.73,94.35,94.37,92.72,-,978.18,973.15,985.69,973.15,108.83M,,,,,,6592.26,6652.78,6666.45,6592.26,59.54M,,,,,,,,,,
2010-01-12,5943.0,6039.39,6055.56,5924.72,-,10627.26,10662.86,10701.48,10523.35,-,4000.05,4044.19,4049.48,3980.2,-,5498.7,5538.1,5549.6,5459.9,-,11966.1,12094.4,12134.2,11941.1,-,2282.31,2297.28,2298.85,2272.7,631.34M,10879.14,10770.35,10905.39,10763.68,-,,,,,,,,,,,,,,,,356.73,359.73,359.83,354.01,-,827.08,820.59,827.08,819.63,-,,,,,,37.0,36.79,37.0,36.62,-,508.95,505.59,508.95,504.47,-,94.08,92.71,94.34,92.7,-,969.55,978.24,981.08,967.49,118.60M,,,,,,6541.9,6596.67,6608.81,6517.33,63.20M,,,,,,,,,,
2010-01-13,5963.14,5937.17,5974.44,5925.24,-,10680.77,10628.09,10747.12,10569.07,-,4000.86,3979.94,4007.86,3979.15,-,5473.5,5498.7,5509.7,5450.9,-,11958.3,11923.0,12027.2,11909.6,-,2307.9,2289.46,2313.03,2274.12,614.78M,10735.03,10795.48,10866.62,10729.86,-,,,,,,,,,,,,,,,,356.53,356.63,358.98,353.3,-,839.57,826.88,839.68,826.88,-,,,,,,37.58,36.99,37.58,36.99,-,516.36,508.84,516.42,508.84,-,94.74,94.04,94.75,93.88,-,974.96,969.49,974.96,964.35,126.48M,,,,,,6554.55,6508.21,6573.07,6507.86,60.68M,,,,,,,,,,
2010-01-14,5988.88,5999.08,6009.91,5951.69,-,10710.55,10680.16,10767.15,10619.02,-,4015.77,4029.2,4029.71,3993.5,-,5498.2,5473.5,5521.9,5473.5,-,11999.8,12049.1,12050.4,11902.3,-,2316.74,2303.31,2322.56,2303.29,617.56M,10907.68,10778.07,10909.94,10774.25,-,,,,,,,,,,,,,,,,361.79,356.97,362.86,356.97,-,835.28,840.79,840.79,834.29,-,,,,,,37.47,37.62,37.62,37.42,-,513.78,516.84,516.84,513.18,-,92.79,94.68,94.74,92.79,-,981.5,975.61,984.65,975.61,150.04M,,,,,,6627.42,6588.75,6646.52,6573.64,62.68M,,,,,,,,,,
2010-01-15,5875.97,5996.56,6025.36,5866.84,-,10609.65,10706.99,10736.54,10529.09,-,3954.38,4030.94,4044.08,3949.9,-,5455.4,5498.2,5527.0,5450.4,-,11845.0,12028.5,12085.3,11818.6,-,2287.99,2316.98,2322.54,2279.2,819.10M,10982.1,10917.41,10982.1,10878.83,-,,,,,,,,,,,,,,,,359.27,361.99,363.84,358.43,-,843.15,835.39,848.68,835.39,-,,,,,,37.83,37.48,38.0,37.48,-,518.14,513.84,521.22,513.84,-,92.95,92.81,94.45,92.81,-,970.65,982.1,986.0,968.5,113.55M,,,,,,6576.02,6637.44,6664.46,6562.15,82.93M,,,,,,,,,,
