"DateTime","Eik fasteignafélag Verð ","Eik fasteignafélag Magn"
"2015-04-29 18:00:00",6.66,23840790
"2015-04-30 18:00:00",6.6,6075000
"2015-05-04 18:00:00",6.57,13125155
"2015-05-05 18:00:00",6.57,0
"2015-05-06 18:00:00",6.46,13842442
"2015-05-07 18:00:00",6.46,2074075
"2015-05-08 18:00:00",6.54,2758144
"2015-05-11 18:00:00",6.49,11733529
"2015-05-12 18:00:00",6.46,2566676
"2015-05-13 18:00:00",6.39,22117999
"2015-05-15 18:00:00",6.4,1600000
"2015-05-18 18:00:00",6.4,0
"2015-05-19 18:00:00",6.38,227616
"2015-05-20 18:00:00",6.38,502790
"2015-05-21 18:00:00",6.32,7182868
"2015-05-22 18:00:00",6.15,8395763
"2015-05-26 18:00:00",6.22,9016006
"2015-05-27 18:00:00",6.23,1381529
"2015-05-28 18:00:00",6.23,4150000
"2015-05-29 18:00:00",6.32,10475169
"2015-06-01 18:00:00",6.3,10191059
"2015-06-02 18:00:00",6.28,73529
"2015-06-03 18:00:00",6.28,304605
"2015-06-04 18:00:00",6.22,8003859
"2015-06-05 18:00:00",6.2,6697336
"2015-06-08 18:00:00",6.3,4908116
"2015-06-09 18:00:00",6.28,12642060
"2015-06-10 18:00:00",6.25,1234705
"2015-06-11 18:00:00",6.3,4580558
"2015-06-12 18:00:00",6.3,0
"2015-06-15 18:00:00",6.34,80558
"2015-06-16 18:00:00",6.3,1738095
"2015-06-18 18:00:00",6.3,35305
"2015-06-19 18:00:00",6.35,4890940
"2015-06-22 18:00:00",6.31,1573529
"2015-06-23 18:00:00",6.27,4873529
"2015-06-24 18:00:00",6.42,46103661
"2015-06-25 18:00:00",6.45,2694467
"2015-06-26 18:00:00",6.475,12935014
"2015-06-29 18:00:00",6.58,14115379
"2015-06-30 18:00:00",6.58,132000000
"2015-07-01 18:00:00",6.58,3170000
"2015-07-02 18:00:00",6.58,16250000
"2015-07-03 18:00:00",6.64,3000000
"2015-07-06 18:00:00",6.6,769000
"2015-07-07 18:00:00",6.66,2147058
"2015-07-08 18:00:00",6.7,11500000
"2015-07-09 18:00:00",6.7,35993529
"2015-07-10 18:00:00",6.7,685117
"2015-07-13 18:00:00",6.73,2382740
"2015-07-14 18:00:00",6.72,10295058
"2015-07-15 18:00:00",6.715,43500000
"2015-07-16 18:00:00",6.77,23320761
"2015-07-17 18:00:00",6.8,4652615
"2015-07-20 18:00:00",6.79,73529
"2015-07-21 18:00:00",6.82,11700000
"2015-07-22 18:00:00",6.9,3630000
"2015-07-23 18:00:00",6.91,14000000
"2015-07-24 18:00:00",6.98,3043000
"2015-07-27 18:00:00",6.88,9647058
"2015-07-28 18:00:00",6.905,7823529
"2015-07-29 18:00:00",6.9,450000
"2015-07-30 18:00:00",6.86,1724926
"2015-07-31 18:00:00",6.88,8512867
"2015-08-04 18:00:00",6.94,12368606
"2015-08-05 18:00:00",6.91,254087
"2015-08-06 18:00:00",6.9,80558
"2015-08-07 18:00:00",6.91,1700000
"2015-08-10 18:00:00",6.96,1100000
"2015-08-11 18:00:00",6.9,15383040
"2015-08-12 18:00:00",6.98,5229411
"2015-08-13 18:00:00",7.03,12528439
"2015-08-14 18:00:00",7,1900000
"2015-08-17 18:00:00",7,0
"2015-08-18 18:00:00",6.95,241676
"2015-08-19 18:00:00",7.03,400000
"2015-08-20 18:00:00",7.1,42252058
"2015-08-21 18:00:00",7.12,1500000
"2015-08-24 18:00:00",7,26915994
"2015-08-25 18:00:00",7.08,13504958
"2015-08-26 18:00:00",7.16,8830084
"2015-08-27 18:00:00",7.21,10687500
"2015-08-28 18:00:00",7.18,2607794
"2015-08-31 18:00:00",7.24,39197870
"2015-09-01 18:00:00",7.28,74959184
"2015-09-02 18:00:00",7.3,127973
"2015-09-03 18:00:00",7.21,100000
"2015-09-04 18:00:00",7.28,8257529
"2015-09-07 18:00:00",7.3,18573529
"2015-09-08 18:00:00",7.33,16477794
"2015-09-09 18:00:00",7.45,23542645
"2015-09-10 18:00:00",7.45,16024500
"2015-09-11 18:00:00",7.39,1542000
"2015-09-14 18:00:00",7.34,516000
"2015-09-15 18:00:00",7.33,404409
"2015-09-16 18:00:00",7.31,35277207
"2015-09-17 18:00:00",7.35,20297027
"2015-09-18 18:00:00",7.39,35262636
"2015-09-21 18:00:00",7.37,87646
"2015-09-22 18:00:00",7.26,9265000
"2015-09-23 18:00:00",7.4,11852358
"2015-09-24 18:00:00",7.42,2432881
"2015-09-25 18:00:00",7.35,2551470
"2015-09-28 18:00:00",7.41,25250000
"2015-09-29 18:00:00",7.4,19017587
"2015-09-30 18:00:00",7.42,194367
"2015-10-01 18:00:00",7.32,3704702
"2015-10-02 18:00:00",7.45,4022622
"2015-10-05 18:00:00",7.4,276558
