"DateTime","Eimskipafélag Íslands Verð ","Eimskipafélag Íslands Magn"
"2012-11-16 18:00:00",225,1220542
"2012-11-19 18:00:00",220,687347
"2012-11-20 18:00:00",220.5,98944
"2012-11-21 18:00:00",219.5,305786
"2012-11-22 18:00:00",218.5,90327
"2012-11-23 18:00:00",218.5,106550
"2012-11-26 18:00:00",221,244117
"2012-11-27 18:00:00",225,266847
"2012-11-28 18:00:00",224,203234
"2012-11-29 18:00:00",225.5,186503
"2012-11-30 18:00:00",222.5,374416
"2012-12-03 18:00:00",221,270000
"2012-12-04 18:00:00",221,219754
"2012-12-05 18:00:00",220,184523
"2012-12-06 18:00:00",218,822897
"2012-12-07 18:00:00",219,122903
"2012-12-10 18:00:00",217,241329
"2012-12-11 18:00:00",219,331384
"2012-12-12 18:00:00",223.5,950009
"2012-12-13 18:00:00",223,180281
"2012-12-14 18:00:00",224,69586
"2012-12-17 18:00:00",227,1242890
"2012-12-18 18:00:00",227,1056823
"2012-12-19 18:00:00",229,1372565
"2012-12-20 18:00:00",230.5,1431520
"2012-12-21 18:00:00",230.5,702944
"2012-12-27 18:00:00",230,350163
"2012-12-28 18:00:00",230,292267
"2013-01-02 18:00:00",233.5,527440
"2013-01-03 18:00:00",244,2110332
"2013-01-04 18:00:00",243.5,1190485
"2013-01-07 18:00:00",250,1541217
"2013-01-08 18:00:00",245.5,1024445
"2013-01-09 18:00:00",246,237119
"2013-01-10 18:00:00",250,2104022
"2013-01-11 18:00:00",250,963884
"2013-01-14 18:00:00",248.5,474961
"2013-01-15 18:00:00",250,103238
"2013-01-16 18:00:00",253,1696500
"2013-01-17 18:00:00",253,611549
"2013-01-18 18:00:00",254,966738
"2013-01-21 18:00:00",255.5,272691
"2013-01-22 18:00:00",254,59518
"2013-01-23 18:00:00",253,611193
"2013-01-24 18:00:00",250,647917
"2013-01-25 18:00:00",249.5,1078066
"2013-01-28 18:00:00",255,1353204
"2013-01-29 18:00:00",255.5,1237573
"2013-01-30 18:00:00",259,1290330
"2013-01-31 18:00:00",256,493922
"2013-02-01 18:00:00",255.5,326784
"2013-02-04 18:00:00",253,169725
"2013-02-05 18:00:00",255,1507813
"2013-02-06 18:00:00",256,577569
"2013-02-07 18:00:00",257,298299
"2013-02-08 18:00:00",260,1362498
"2013-02-11 18:00:00",262,635099
"2013-02-12 18:00:00",264.5,768503
"2013-02-13 18:00:00",272,4039150
"2013-02-14 18:00:00",277,2541608
"2013-02-15 18:00:00",275,564963
"2013-02-18 18:00:00",275,51319
"2013-02-19 18:00:00",272.5,126068
"2013-02-20 18:00:00",276,1093917
"2013-02-21 18:00:00",277,447589
"2013-02-22 18:00:00",270,1051430
"2013-02-25 18:00:00",269.5,3646940
"2013-02-26 18:00:00",270,229328
"2013-02-27 18:00:00",270.5,2172118
"2013-02-28 18:00:00",269.5,431217
"2013-03-01 18:00:00",272,1134547
"2013-03-04 18:00:00",272,9749
