"DateTime","Hagar Verð ","Hagar Magn"
"2011-12-16 18:00:00",15.95,33199561
"2011-12-19 18:00:00",16.6,10000441
"2011-12-20 18:00:00",16.95,10385577
"2011-12-21 18:00:00",16.8,868572
"2011-12-22 18:00:00",16.6,2902723
"2011-12-23 18:00:00",16.35,7261424
"2011-12-27 18:00:00",16.3,605592
"2011-12-28 18:00:00",16.45,874074
"2011-12-29 18:00:00",16.5,1890570
"2011-12-30 18:00:00",16.35,1957522
"2012-01-02 18:00:00",16.45,207407
"2012-01-03 18:00:00",16.4,5228222
"2012-01-04 18:00:00",16.45,3903702
"2012-01-05 18:00:00",16.7,1632090
"2012-01-06 18:00:00",16.65,541561
"2012-01-09 18:00:00",16.9,2896160
"2012-01-10 18:00:00",17.15,3208994
"2012-01-11 18:00:00",16.95,7453740
"2012-01-12 18:00:00",16.95,5664463
"2012-01-13 18:00:00",17.1,348517
"2012-01-16 18:00:00",16.8,2488060
"2012-01-17 18:00:00",16.95,1143654
"2012-01-18 18:00:00",17.1,7114130
"2012-01-19 18:00:00",17,599999
"2012-01-20 18:00:00",17,228740
"2012-01-23 18:00:00",17.15,602484
"2012-01-24 18:00:00",17.2,639830
"2012-01-25 18:00:00",17.1,580852
"2012-01-26 18:00:00",17.15,13130633
"2012-01-27 18:00:00",16.85,3071482
"2012-01-30 18:00:00",16.95,2416166
"2012-01-31 18:00:00",16.85,205520
"2012-02-01 18:00:00",16.8,685550
"2012-02-02 18:00:00",16.75,1209554
"2012-02-03 18:00:00",16.75,181481
"2012-02-06 18:00:00",17,2738889
"2012-02-07 18:00:00",16.75,3253855
"2012-02-08 18:00:00",16.6,888333
"2012-02-09 18:00:00",16.8,3749866
"2012-02-10 18:00:00",16.9,2985183
"2012-02-13 18:00:00",16.9,2714299
"2012-02-14 18:00:00",16.9,435926
"2012-02-15 18:00:00",16.9,165950
"2012-02-16 18:00:00",16.95,4382697
"2012-02-17 18:00:00",17.25,6280676
"2012-02-20 18:00:00",17.2,207407
"2012-02-21 18:00:00",17.15,64605
