"DateTime","Icelandair Group Verð ","Icelandair Group Magn"
"2006-12-14 18:00:00",27.6,44084936
"2006-12-15 18:00:00",27.8,6433591
"2006-12-18 18:00:00",27.6,7930209
"2006-12-19 18:00:00",27.5,15505158
"2006-12-20 18:00:00",27.5,894465
"2006-12-21 18:00:00",27.4,4502840
"2006-12-22 18:00:00",27.3,63322032
"2006-12-27 18:00:00",27.5,2132790
"2006-12-28 18:00:00",27.4,546515
"2006-12-29 18:00:00",27.6,5570035
"2007-01-03 18:00:00",27.4,1641521
"2007-01-04 18:00:00",27.6,1940092
"2007-01-05 18:00:00",27.5,2248854
"2007-01-08 18:00:00",27.5,6790
"2007-01-09 18:00:00",27.6,5000000
"2007-01-10 18:00:00",27.5,1940000
"2007-01-11 18:00:00",28,17320898
"2007-01-12 18:00:00",28.5,13531289
"2007-01-15 18:00:00",28.6,8328177
"2007-01-16 18:00:00",28.7,2060547
"2007-01-17 18:00:00",28.8,826448
"2007-01-18 18:00:00",28.8,2002000
"2007-01-19 18:00:00",28.7,735069
"2007-01-22 18:00:00",28.7,0
"2007-01-23 18:00:00",28.7,5447519
"2007-01-24 18:00:00",28.6,3769284
"2007-01-25 18:00:00",28.4,1020117
"2007-01-26 18:00:00",28.5,34000
"2007-01-29 18:00:00",28.4,1022000
"2007-01-30 18:00:00",28.1,12178000
"2007-01-31 18:00:00",28,10184000
"2007-02-01 18:00:00",28,1000000
"2007-02-02 18:00:00",27.9,36000
"2007-02-05 18:00:00",27.6,1022323
"2007-02-06 18:00:00",27.5,5006186
"2007-02-07 18:00:00",27.4,2101349
"2007-02-08 18:00:00",27.3,21012540
"2007-02-09 18:00:00",27.5,2100000
"2007-02-12 18:00:00",27.5,1224000
"2007-02-13 18:00:00",27.6,6194924
"2007-02-14 18:00:00",27.5,110000
"2007-02-15 18:00:00",27.7,2544810
"2007-02-16 18:00:00",27.6,108334
"2007-02-19 18:00:00",27.6,0
"2007-02-20 18:00:00",27.9,11011000
"2007-02-21 18:00:00",28,3950000
"2007-02-22 18:00:00",28,2617125
"2007-02-23 18:00:00",28.1,2484784
"2007-02-26 18:00:00",28.1,9897837
"2007-02-27 18:00:00",27.7,1502519
"2007-02-28 18:00:00",27.2,8911389
"2007-03-01 18:00:00",27.1,504000
"2007-03-02 18:00:00",27,1167743
"2007-03-05 18:00:00",26.8,97580
"2007-03-06 18:00:00",26.9,0
"2007-03-07 18:00:00",27,8000
"2007-03-08 18:00:00",27.1,588158
"2007-03-09 18:00:00",27.1,344000
"2007-03-12 18:00:00",26.9,515037
"2007-03-13 18:00:00",26.9,19885
"2007-03-14 18:00:00",27.2,4066000
"2007-03-15 18:00:00",27.1,2001111
"2007-03-16 18:00:00",27.1,0
"2007-03-19 18:00:00",26.9,352222
"2007-03-20 18:00:00",27,2111111
"2007-03-21 18:00:00",27,1948000
"2007-03-22 18:00:00",27,15000000
"2007-03-23 18:00:00",27,80032
"2007-03-26 18:00:00",26.9,118000
"2007-03-27 18:00:00",27,373904
"2007-03-28 18:00:00",27,0
"2007-03-29 18:00:00",26.9,42929
"2007-03-30 18:00:00",27.1,558700
"2007-04-02 18:00:00",27,500000
"2007-04-03 18:00:00",27,118694
"2007-04-04 18:00:00",27,84891
"2007-04-10 18:00:00",27,0
"2007-04-11 18:00:00",27,9135136
"2007-04-12 18:00:00",27,258000
"2007-04-13 18:00:00",27,1147700
"2007-04-16 18:00:00",26.9,37037
"2007-04-17 18:00:00",26.9,500388
"2007-04-18 18:00:00",26.8,85556
"2007-04-20 18:00:00",26.8,2500000
"2007-04-23 18:00:00",26.8,943627
"2007-04-24 18:00:00",27,9194688
"2007-04-25 18:00:00",26.9,513407
"2007-04-26 18:00:00",27,3335967
"2007-04-27 18:00:00",27,385185
"2007-04-30 18:00:00",26.8,503721
"2007-05-02 18:00:00",27,50000
"2007-05-03 18:00:00",27.05,888535
"2007-05-04 18:00:00",27.1,275689
"2007-05-07 18:00:00",27,0
"2007-05-08 18:00:00",27,0
"2007-05-09 18:00:00",27,9957993
"2007-05-10 18:00:00",27,6184000
"2007-05-11 18:00:00",27.2,1981528
"2007-05-14 18:00:00",27.2,1759407
"2007-05-15 18:00:00",27.4,5568667
"2007-05-16 18:00:00",27.4,4595687
"2007-05-18 18:00:00",27.4,10025250
"2007-05-21 18:00:00",27.7,51000000
"2007-05-22 18:00:00",27.95,10298441
"2007-05-23 18:00:00",28.15,3750000
"2007-05-24 18:00:00",28.1,4522000
"2007-05-25 18:00:00",28.55,3815634
"2007-05-29 18:00:00",28.6,1100000
"2007-05-30 18:00:00",28.4,1504261
"2007-05-31 18:00:00",28.2,8511925
"2007-06-01 18:00:00",28.2,12000
"2007-06-04 18:00:00",27.85,2683531
"2007-06-05 18:00:00",27.85,220814
"2007-06-06 18:00:00",27.8,560000
"2007-06-07 18:00:00",27.8,1574328
"2007-06-08 18:00:00",27.5,3500000
"2007-06-11 18:00:00",27.7,3011482
"2007-06-12 18:00:00",27.6,27956
"2007-06-13 18:00:00",27.55,56000
"2007-06-14 18:00:00",27.65,2010174
"2007-06-15 18:00:00",27.5,2502011
"2007-06-18 18:00:00",27.85,5018976
"2007-06-19 18:00:00",27.8,1030222
"2007-06-20 18:00:00",27.85,72000
"2007-06-21 18:00:00",27.9,1051882
"2007-06-22 18:00:00",27.9,1604454
"2007-06-25 18:00:00",27.9,516147
"2007-06-26 18:00:00",27.55,2642649
"2007-06-27 18:00:00",27.55,8076000
"2007-06-28 18:00:00",27.75,1980000
"2007-06-29 18:00:00",28,19603630
"2007-07-02 18:00:00",27.85,1500000
"2007-07-03 18:00:00",28.05,5318332
"2007-07-04 18:00:00",28.95,5550000
"2007-07-05 18:00:00",29.35,2500000
"2007-07-06 18:00:00",30,10625400
"2007-07-09 18:00:00",31.1,23808976
"2007-07-10 18:00:00",30.8,6034400
"2007-07-11 18:00:00",30.95,13100556
"2007-07-12 18:00:00",30.9,701583
"2007-07-13 18:00:00",31.05,47000
"2007-07-16 18:00:00",30.75,32554878
"2007-07-17 18:00:00",30.95,8518108
"2007-07-18 18:00:00",31.05,5362705
"2007-07-19 18:00:00",30.65,12052461
"2007-07-20 18:00:00",30.4,519000
"2007-07-23 18:00:00",30.25,1652993
"2007-07-24 18:00:00",29.8,1220000
"2007-07-25 18:00:00",29.6,5563800
"2007-07-26 18:00:00",29.25,532000
"2007-07-27 18:00:00",29,5001000
"2007-07-30 18:00:00",28.9,6045000
"2007-07-31 18:00:00",29.25,3106000
"2007-08-01 18:00:00",28.95,8761401
"2007-08-02 18:00:00",28.95,1051602
"2007-08-03 18:00:00",28.8,4509897
"2007-08-07 18:00:00",28.85,1000000
"2007-08-08 18:00:00",28.9,350000
"2007-08-09 18:00:00",28.75,502299
"2007-08-10 18:00:00",27.55,5018018
"2007-08-13 18:00:00",27.95,1634212
"2007-08-14 18:00:00",27.85,2024000
"2007-08-15 18:00:00",26.6,5842413
"2007-08-16 18:00:00",25.05,14534110
"2007-08-17 18:00:00",25.65,5067719
"2007-08-20 18:00:00",26,4530000
"2007-08-21 18:00:00",26.4,2052000
"2007-08-22 18:00:00",26.55,980649
"2007-08-23 18:00:00",26.9,1515000
"2007-08-24 18:00:00",26.9,0
"2007-08-27 18:00:00",27,1284960
"2007-08-28 18:00:00",26.75,85000
"2007-08-29 18:00:00",26.75,0
"2007-08-30 18:00:00",26.75,2527936
"2007-08-31 18:00:00",27.2,3042175
"2007-09-03 18:00:00",27.5,4230678
"2007-09-04 18:00:00",27.7,314191675
"2007-09-05 18:00:00",27.55,5625000
"2007-09-06 18:00:00",27.4,475000
"2007-09-07 18:00:00",27.2,1480000
"2007-09-10 18:00:00",26.3,2200000
"2007-09-11 18:00:00",26.2,1510000
"2007-09-12 18:00:00",26.1,0
"2007-09-13 18:00:00",26.2,41985
"2007-09-14 18:00:00",26.1,0
"2007-09-17 18:00:00",25.4,1013922
"2007-09-18 18:00:00",25.4,360000
"2007-09-19 18:00:00",26.35,1143119
"2007-09-20 18:00:00",26.1,50000
"2007-09-21 18:00:00",26.1,572561
"2007-09-24 18:00:00",26.15,101082
"2007-09-25 18:00:00",25.9,90000
"2007-09-26 18:00:00",26.2,4173080
"2007-09-27 18:00:00",26.45,140000
"2007-09-28 18:00:00",27.2,1615312
"2007-10-01 18:00:00",26.5,16000000
"2007-10-02 18:00:00",26.4,2007667
"2007-10-03 18:00:00",25.7,6561827
"2007-10-04 18:00:00",25.85,80000
"2007-10-05 18:00:00",26.15,1012116
"2007-10-08 18:00:00",27,8117300
"2007-10-09 18:00:00",26.75,2265399
"2007-10-10 18:00:00",26.8,232309
"2007-10-11 18:00:00",26.65,541111
"2007-10-12 18:00:00",26.8,211761
"2007-10-15 18:00:00",26.8,537397
"2007-10-16 18:00:00",26.5,1000000
"2007-10-17 18:00:00",26.3,520000
"2007-10-18 18:00:00",26.95,3437148
"2007-10-19 18:00:00",26.95,129891
"2007-10-22 18:00:00",26.65,710000
"2007-10-23 18:00:00",26.65,0
"2007-10-24 18:00:00",26.55,500000
"2007-10-25 18:00:00",26.55,617000
"2007-10-26 18:00:00",26.35,4513204
"2007-10-29 18:00:00",25,11382000
"2007-10-30 18:00:00",25,11111
"2007-10-31 18:00:00",24.9,1010000
"2007-11-01 18:00:00",24.9,1575000
"2007-11-02 18:00:00",24.8,27232
"2007-11-05 18:00:00",24.2,4517097
"2007-11-06 18:00:00",23.75,515000
"2007-11-07 18:00:00",22.3,17369841
"2007-11-08 18:00:00",23.1,7942420
"2007-11-09 18:00:00",23.15,3089649
"2007-11-12 18:00:00",23.4,1535619
"2007-11-13 18:00:00",23.7,52037
"2007-11-14 18:00:00",24.2,13511418
"2007-11-15 18:00:00",24.25,2545040
"2007-11-16 18:00:00",24.5,8074831
"2007-11-19 18:00:00",24.8,2013758
"2007-11-20 18:00:00",25.6,2986912
"2007-11-21 18:00:00",25.6,195000
"2007-11-22 18:00:00",25.8,17333809
"2007-11-23 18:00:00",26,796993
"2007-11-26 18:00:00",26.9,2320000
"2007-11-27 18:00:00",27.05,1313037
"2007-11-28 18:00:00",27.05,225000
"2007-11-29 18:00:00",27.8,1282272
"2007-11-30 18:00:00",28.4,1410000
"2007-12-03 18:00:00",28.2,514037
"2007-12-04 18:00:00",27.85,2193343
"2007-12-05 18:00:00",27.5,542575
"2007-12-06 18:00:00",27.5,1012000
"2007-12-07 18:00:00",27.5,11000
"2007-12-10 18:00:00",27.5,0
"2007-12-11 18:00:00",27.25,1545102
"2007-12-12 18:00:00",27.35,41370
"2007-12-13 18:00:00",26.75,2500000
"2007-12-14 18:00:00",26.15,1011353
"2007-12-17 18:00:00",25.7,2039047
"2007-12-18 18:00:00",25.7,90000
"2007-12-19 18:00:00",25.55,1298899
"2007-12-20 18:00:00",25.7,47956
"2007-12-21 18:00:00",26.45,16661465
"2007-12-27 18:00:00",27.1,2542956
"2007-12-28 18:00:00",27.75,6290598
"2008-01-03 18:00:00",27.45,1903151
"2008-01-04 18:00:00",26.6,4550926
"2008-01-07 18:00:00",26.55,3352158
"2008-01-08 18:00:00",26.55,583284
"2008-01-09 18:00:00",26.25,7445231
"2008-01-10 18:00:00",26.95,2570528
"2008-01-11 18:00:00",27.35,1032222
"2008-01-14 18:00:00",26.85,570000
"2008-01-15 18:00:00",26.75,119888
"2008-01-16 18:00:00",27.25,2247156
"2008-01-17 18:00:00",27.35,1899096
"2008-01-18 18:00:00",27.1,1285185
"2008-01-21 18:00:00",26.6,3957067
"2008-01-22 18:00:00",26.4,2524630
"2008-01-23 18:00:00",26,820000
"2008-01-24 18:00:00",26.35,1925000
"2008-01-25 18:00:00",27.35,5892869
"2008-01-28 18:00:00",27.65,2195000
"2008-01-29 18:00:00",27.55,1887500
"2008-01-30 18:00:00",27.95,1951172
"2008-01-31 18:00:00",27.5,2512401
"2008-02-01 18:00:00",27.45,2000000
"2008-02-04 18:00:00",27.4,20000
"2008-02-05 18:00:00",27,712965
"2008-02-06 18:00:00",26.5,2100554
