"DateTime","N1 Verð ","N1 Magn"
"2013-12-19 18:00:00",18.8,39643335
"2013-12-20 18:00:00",18.85,5353418
"2013-12-23 18:00:00",18.9,2036084
"2013-12-27 18:00:00",19,5107248
"2013-12-30 18:00:00",18.9,3673384
"2014-01-02 18:00:00",18.85,4848751
"2014-01-03 18:00:00",19,3818444
"2014-01-06 18:00:00",18.9,4309024
"2014-01-07 18:00:00",18.65,9026924
"2014-01-08 18:00:00",18.6,8372326
"2014-01-09 18:00:00",18.55,3570281
"2014-01-10 18:00:00",18.55,1463166
"2014-01-13 18:00:00",18.45,773187
"2014-01-14 18:00:00",18.35,3956941
"2014-01-15 18:00:00",18.3,5318215
"2014-01-16 18:00:00",18.5,9696221
"2014-01-17 18:00:00",18.5,4790844
"2014-01-20 18:00:00",18.4,2690841
"2014-01-21 18:00:00",18.45,2681132
"2014-01-22 18:00:00",18.4,671736
"2014-01-23 18:00:00",18.4,1364810
"2014-01-24 18:00:00",19,32130834
"2014-01-27 18:00:00",18.65,5528775
"2014-01-28 18:00:00",18.7,339127
"2014-01-29 18:00:00",18.65,1613115
"2014-01-30 18:00:00",18.8,8904080
"2014-01-31 18:00:00",18.85,4088502
"2014-02-03 18:00:00",18.8,1047728
"2014-02-04 18:00:00",18.8,2612305
"2014-02-05 18:00:00",18.8,649562
"2014-02-06 18:00:00",18.8,339299
"2014-02-07 18:00:00",18.85,1772377
"2014-02-10 18:00:00",18.75,4659098
"2014-02-11 18:00:00",18.75,3110025
"2014-02-12 18:00:00",18.75,415020
"2014-02-13 18:00:00",18.8,8383308
"2014-02-14 18:00:00",18.8,279503
"2014-02-17 18:00:00",18.65,1060261
"2014-02-18 18:00:00",18.8,3597811
"2014-02-19 18:00:00",18.9,2514644
"2014-02-20 18:00:00",18.9,403055
"2014-02-21 18:00:00",19,350418
"2014-02-24 18:00:00",18.85,1299291
"2014-02-25 18:00:00",18.55,9422324
"2014-02-26 18:00:00",18.55,573560
"2014-02-27 18:00:00",18.55,13690362
"2014-02-28 18:00:00",18.3,12255277
"2014-03-03 18:00:00",18.35,5957303
"2014-03-04 18:00:00",18.15,48216
"2014-03-05 18:00:00",18.15,483768
"2014-03-06 18:00:00",18.15,17501
"2014-03-07 18:00:00",18.15,287159
"2014-03-10 18:00:00",18.35,846247
"2014-03-11 18:00:00",18.2,476785
"2014-03-12 18:00:00",18.35,6792320
"2014-03-13 18:00:00",18.3,1717852
"2014-03-14 18:00:00",18.4,156702
"2014-03-17 18:00:00",18.4,568123
"2014-03-18 18:00:00",18.3,12054
"2014-03-19 18:00:00",18.35,260378
"2014-03-20 18:00:00",18.35,84022
"2014-03-21 18:00:00",18.35,4126985
"2014-03-24 18:00:00",18.4,6744951
"2014-03-25 18:00:00",18.35,2964323
"2014-03-26 18:00:00",18.35,127354
"2014-03-27 18:00:00",18.4,622114
"2014-03-28 18:00:00",16.4,19144847
"2014-03-31 18:00:00",16.4,7676072
"2014-04-01 18:00:00",16.5,10464560
"2014-04-02 18:00:00",16.5,3487728
"2014-04-03 18:00:00",16.5,5700559
"2014-04-04 18:00:00",16.95,15075548
"2014-04-07 18:00:00",17,4225496
"2014-04-08 18:00:00",17.05,9613262
"2014-04-09 18:00:00",17,8665225
"2014-04-10 18:00:00",17.35,18565275
"2014-04-11 18:00:00",17.4,2274768
"2014-04-14 18:00:00",17.4,1186609
"2014-04-15 18:00:00",17.4,6635856
"2014-04-16 18:00:00",17.5,10079461
"2014-04-22 18:00:00",17.75,9160883
"2014-04-23 18:00:00",17.8,9116484
"2014-04-25 18:00:00",17.65,51400070
"2014-04-28 18:00:00",17.7,6733504
"2014-04-29 18:00:00",17.65,3078848
"2014-04-30 18:00:00",17.85,10030533
"2014-05-02 18:00:00",17.75,10613125
"2014-05-05 18:00:00",17.35,5036212
"2014-05-06 18:00:00",17.3,386681
"2014-05-07 18:00:00",17.3,740905
"2014-05-08 18:00:00",17.55,2644647
"2014-05-09 18:00:00",17.55,86162
"2014-05-12 18:00:00",17.3,135168
"2014-05-13 18:00:00",17.3,331439
"2014-05-14 18:00:00",17.3,126432
"2014-05-15 18:00:00",17.2,4048214
"2014-05-16 18:00:00",17.15,1279393
"2014-05-19 18:00:00",17.4,16030643
"2014-05-20 18:00:00",17.6,3646431
"2014-05-21 18:00:00",17.5,8100860
"2014-05-22 18:00:00",17.5,3823536
"2014-05-23 18:00:00",17.2,6042946
"2014-05-26 18:00:00",16.75,9132593
"2014-05-27 18:00:00",16.7,5486162
"2014-05-28 18:00:00",16.6,78215
"2014-05-30 18:00:00",16.6,9145393
"2014-06-02 18:00:00",16.7,4136996
"2014-06-03 18:00:00",16.7,96319
"2014-06-04 18:00:00",16.9,271933
"2014-06-05 18:00:00",16.55,6024000
"2014-06-06 18:00:00",16.55,3524108
"2014-06-10 18:00:00",16.7,211049602
"2014-06-11 18:00:00",16.75,105003
"2014-06-12 18:00:00",16.75,98216
"2014-06-13 18:00:00",16.8,1044162
"2014-06-16 18:00:00",16.6,10000
"2014-06-18 18:00:00",16.6,353481
"2014-06-19 18:00:00",16.6,54108
"2014-06-20 18:00:00",16.6,148162
"2014-06-23 18:00:00",16.6,21123
"2014-06-24 18:00:00",16.45,2250149
"2014-06-25 18:00:00",16.45,8149684
"2014-06-26 18:00:00",16.4,779969
"2014-06-27 18:00:00",16.55,437672
"2014-06-30 18:00:00",16.5,4261461
"2014-07-01 18:00:00",16.35,171123
"2014-07-02 18:00:00",16.45,2496432
"2014-07-03 18:00:00",16.35,2070430
"2014-07-04 18:00:00",16.35,177108
"2014-07-07 18:00:00",16.3,132594
"2014-07-08 18:00:00",16.1,4050204
"2014-07-09 18:00:00",16.05,152080
"2014-07-10 18:00:00",16.1,223075
"2014-07-11 18:00:00",15.8,2312054
"2014-07-14 18:00:00",15.8,18107
"2014-07-15 18:00:00",15.75,1348216
"2014-07-16 18:00:00",15.6,24108
"2014-07-17 18:00:00",15.9,5948216
"2014-07-18 18:00:00",15.9,1704108
"2014-07-21 18:00:00",15.9,24108
"2014-07-22 18:00:00",15.9,0
"2014-07-23 18:00:00",15.9,1000000
"2014-07-24 18:00:00",16,1286161
"2014-07-25 18:00:00",15.9,7993
"2014-07-28 18:00:00",15.9,58725
"2014-07-29 18:00:00",15.9,560268
"2014-07-30 18:00:00",16,2000000
"2014-07-31 18:00:00",16.2,11524108
"2014-08-01 18:00:00",16.6,9371733
"2014-08-05 18:00:00",16.65,2060228
"2014-08-06 18:00:00",16.6,5099037
"2014-08-07 18:00:00",16.65,39616
"2014-08-08 18:00:00",16.5,4527361
"2014-08-11 18:00:00",16.5,6060606
"2014-08-12 18:00:00",16.65,3083158
"2014-08-13 18:00:00",16.7,307492
"2014-08-14 18:00:00",16.7,251063
"2014-08-15 18:00:00",16.65,2557
"2014-08-18 18:00:00",16.7,222871
"2014-08-19 18:00:00",16.7,18570877
"2014-08-20 18:00:00",16.65,111162
"2014-08-21 18:00:00",16.8,19112054
"2014-08-22 18:00:00",16.8,2036162
"2014-08-25 18:00:00",16.75,41507
"2014-08-26 18:00:00",16.7,2072323
"2014-08-27 18:00:00",16.85,1144107
"2014-08-28 18:00:00",17.05,10349348
"2014-08-29 18:00:00",17.85,31840000
"2014-09-01 18:00:00",18.15,18373376
"2014-09-02 18:00:00",18.6,12863504
"2014-09-03 18:00:00",18.65,9413962
"2014-09-04 18:00:00",18.6,6401880
"2014-09-05 18:00:00",18.45,450354
"2014-09-08 18:00:00",18.5,856986
"2014-09-09 18:00:00",18.6,8350029
"2014-09-10 18:00:00",18.5,220403
"2014-09-11 18:00:00",18.6,5096431
"2014-09-12 18:00:00",18.7,2226865
"2014-09-15 18:00:00",18.85,3044342
"2014-09-16 18:00:00",18.8,45000
"2014-09-17 18:00:00",18.93,1031644
"2014-09-18 18:00:00",19.25,7940611
"2014-09-19 18:00:00",19.35,13873651
"2014-09-22 18:00:00",19.3,10096804
"2014-09-23 18:00:00",19.12,5749451
"2014-09-24 18:00:00",18.95,4046428
"2014-09-25 18:00:00",19,195270
"2014-09-26 18:00:00",18.95,24106
"2014-09-29 18:00:00",18.95,64407
"2014-09-30 18:00:00",18.95,974945
"2014-10-01 18:00:00",19.35,5327616
"2014-10-02 18:00:00",19.3,4679700
"2014-10-03 18:00:00",19.35,51546
"2014-10-06 18:00:00",19.35,2855776
"2014-10-07 18:00:00",19.4,13411939
"2014-10-08 18:00:00",19.4,9641161
"2014-10-09 18:00:00",19.35,2270982
"2014-10-10 18:00:00",19.25,17759
"2014-10-13 18:00:00",19.2,7712999
"2014-10-14 18:00:00",18.8,2024107
"2014-10-15 18:00:00",18.8,7064058
"2014-10-16 18:00:00",18.8,3122711
"2014-10-17 18:00:00",18.94,5130000
"2014-10-20 18:00:00",19,8995370
"2014-10-21 18:00:00",18.95,62362
"2014-10-22 18:00:00",19.1,7082612
"2014-10-23 18:00:00",19.4,8033076
"2014-10-24 18:00:00",19,5078061
"2014-10-27 18:00:00",19,434404
"2014-10-28 18:00:00",18.95,132330
"2014-10-29 18:00:00",19.1,3432823
"2014-10-30 18:00:00",19.1,280059
"2014-10-31 18:00:00",19.35,641644
"2014-11-03 18:00:00",19.25,2071277
"2014-11-04 18:00:00",19.5,7207449
"2014-11-05 18:00:00",19.5,13424107
