"DateTime","Reginn Verð ","Reginn Magn"
"2012-07-02 18:00:00",8.2,38869980
"2012-07-03 18:00:00",8.35,4818646
"2012-07-04 18:00:00",8.46,9502548
"2012-07-05 18:00:00",8.59,15920001
"2012-07-06 18:00:00",8.47,637196
"2012-07-09 18:00:00",8.59,2700000
"2012-07-10 18:00:00",8.48,3578498
"2012-07-11 18:00:00",8.47,2804881
"2012-07-12 18:00:00",8.44,3350732
"2012-07-13 18:00:00",8.44,6868417
"2012-07-16 18:00:00",8.34,329100
"2012-07-17 18:00:00",8.25,2686513
"2012-07-18 18:00:00",8.32,6580297
"2012-07-19 18:00:00",8.28,60976
"2012-07-20 18:00:00",8.31,609757
"2012-07-23 18:00:00",8.25,59391
"2012-07-24 18:00:00",8.25,134635
"2012-07-25 18:00:00",8.26,435368
"2012-07-26 18:00:00",8.3,914879
"2012-07-27 18:00:00",8.34,250000
"2012-07-30 18:00:00",8.23,634757
"2012-07-31 18:00:00",8.25,250000
"2012-08-01 18:00:00",8.31,1897805
"2012-08-02 18:00:00",8.31,1750000
"2012-08-03 18:00:00",8.25,243903
"2012-08-07 18:00:00",8.25,0
"2012-08-08 18:00:00",8.37,9684147
"2012-08-09 18:00:00",8.4,126952
"2012-08-10 18:00:00",8.34,8021953
"2012-08-13 18:00:00",8.33,1439025
"2012-08-14 18:00:00",8.33,838653
"2012-08-15 18:00:00",8.34,927609
"2012-08-16 18:00:00",8.34,7500000
"2012-08-17 18:00:00",8.32,639757
"2012-08-20 18:00:00",8.33,1838247
"2012-08-21 18:00:00",8.3,0
"2012-08-22 18:00:00",8.28,404026
"2012-08-23 18:00:00",8.3,243903
"2012-08-24 18:00:00",8.3,0
"2012-08-27 18:00:00",8.3,5654149
"2012-08-28 18:00:00",8.32,608736
"2012-08-29 18:00:00",8.36,4745391
"2012-08-30 18:00:00",8.38,576379
"2012-08-31 18:00:00",8.5,14710976
"2012-09-03 18:00:00",8.57,3784966
"2012-09-04 18:00:00",8.69,30989153
"2012-09-05 18:00:00",8.73,4077279
