"DateTime","Reitir fasteignafélag Verð ","Reitir fasteignafélag Magn"
"2015-04-09 18:00:00",63.8,2958847
"2015-04-10 18:00:00",63.8,3856014
"2015-04-13 18:00:00",63.5,1404368
"2015-04-14 18:00:00",63.9,787616
"2015-04-15 18:00:00",63.8,3218552
"2015-04-16 18:00:00",63.5,81701984
"2015-04-17 18:00:00",63.5,1397162
"2015-04-20 18:00:00",63.7,2653112
"2015-04-21 18:00:00",63.7,47466
"2015-04-22 18:00:00",63.7,1335182
"2015-04-24 18:00:00",63.5,4266465
"2015-04-27 18:00:00",63,1137308
"2015-04-28 18:00:00",62.6,1217500
"2015-04-29 18:00:00",62,2514425
"2015-04-30 18:00:00",61.4,7177018
"2015-05-04 18:00:00",61.4,1119198
"2015-05-05 18:00:00",61.5,3519958
"2015-05-06 18:00:00",61.6,122018
"2015-05-07 18:00:00",62.4,381638
"2015-05-08 18:00:00",63,2561023
"2015-05-11 18:00:00",62.6,4357874
"2015-05-12 18:00:00",62.4,521357
"2015-05-13 18:00:00",62,165718
"2015-05-15 18:00:00",62.6,2458893
"2015-05-18 18:00:00",62.5,7874
"2015-05-19 18:00:00",62.7,385500
"2015-05-20 18:00:00",62.6,54671
"2015-05-21 18:00:00",62.6,249297
"2015-05-22 18:00:00",62.4,93182
"2015-05-26 18:00:00",62.6,115157
"2015-05-27 18:00:00",62.7,1483183
"2015-05-28 18:00:00",62.6,1028796
"2015-05-29 18:00:00",62.6,43846
"2015-06-01 18:00:00",62.6,988980
"2015-06-02 18:00:00",62.5,112254
"2015-06-03 18:00:00",62.5,364212
"2015-06-04 18:00:00",62.3,771214
"2015-06-05 18:00:00",61.6,1836996
"2015-06-08 18:00:00",62.8,2432975
"2015-06-09 18:00:00",62.9,4298990
"2015-06-10 18:00:00",62,2779783
"2015-06-11 18:00:00",62.4,2551204
"2015-06-12 18:00:00",63.2,1292439
"2015-06-15 18:00:00",63.1,518934
"2015-06-16 18:00:00",63.6,4506124
"2015-06-18 18:00:00",64.3,3163216
"2015-06-19 18:00:00",64.4,1743091
"2015-06-22 18:00:00",64.2,230559
"2015-06-23 18:00:00",63.8,3116556
"2015-06-24 18:00:00",64.5,2647790
"2015-06-25 18:00:00",65,400000
"2015-06-26 18:00:00",65.4,2437855
"2015-06-29 18:00:00",66.3,1551940
"2015-06-30 18:00:00",66.4,2047198
"2015-07-01 18:00:00",66.35,3859474
"2015-07-02 18:00:00",66.5,1426332
"2015-07-03 18:00:00",66.4,965958
"2015-07-06 18:00:00",66.35,1059637
"2015-07-07 18:00:00",66.6,103224
"2015-07-08 18:00:00",67,10719906
"2015-07-09 18:00:00",67.5,5381745
"2015-07-10 18:00:00",67.8,966322
"2015-07-13 18:00:00",68.3,1166198
"2015-07-14 18:00:00",68.2,1382333
"2015-07-15 18:00:00",67.8,2615000
"2015-07-16 18:00:00",68,1959004
"2015-07-17 18:00:00",68,24548
"2015-07-20 18:00:00",68.3,28161
"2015-07-21 18:00:00",68.8,701774
"2015-07-22 18:00:00",69.7,13000
"2015-07-23 18:00:00",69.3,531825
"2015-07-24 18:00:00",69,216640
"2015-07-27 18:00:00",69.2,448365
"2015-07-28 18:00:00",69.25,600000
"2015-07-29 18:00:00",69,29249
"2015-07-30 18:00:00",69.1,911735
"2015-07-31 18:00:00",68.9,2116899
"2015-08-04 18:00:00",69,1271023
"2015-08-05 18:00:00",69.7,57840
"2015-08-06 18:00:00",69.3,411477
"2015-08-07 18:00:00",69.6,154922
"2015-08-10 18:00:00",69.3,58744
"2015-08-11 18:00:00",69.6,1667214
"2015-08-12 18:00:00",69.6,2707506
"2015-08-13 18:00:00",70.6,4097078
"2015-08-14 18:00:00",70.6,1379890
"2015-08-17 18:00:00",70.2,542394
"2015-08-18 18:00:00",70.7,16274
"2015-08-19 18:00:00",70.7,331231
"2015-08-20 18:00:00",72.1,2474070
"2015-08-21 18:00:00",72.4,1386429
"2015-08-24 18:00:00",71.7,3404789
"2015-08-25 18:00:00",71.7,71468
"2015-08-26 18:00:00",71.7,90960
"2015-08-27 18:00:00",73,1753198
"2015-08-28 18:00:00",72.7,164931
"2015-08-31 18:00:00",73.2,1871379
"2015-09-01 18:00:00",72.9,1472605
"2015-09-02 18:00:00",73.1,330000
"2015-09-03 18:00:00",73.3,404251
"2015-09-04 18:00:00",73.3,308682
"2015-09-07 18:00:00",73.5,3919596
"2015-09-08 18:00:00",73.5,832103
"2015-09-09 18:00:00",73.9,2130332
"2015-09-10 18:00:00",73.8,588627
"2015-09-11 18:00:00",72.9,1383390
"2015-09-14 18:00:00",72.6,236519
"2015-09-15 18:00:00",72.5,1369437
"2015-09-16 18:00:00",72.5,52874
"2015-09-17 18:00:00",72.2,1857784
"2015-09-18 18:00:00",72.2,22755
"2015-09-21 18:00:00",72.2,127052
"2015-09-22 18:00:00",72.4,1963874
"2015-09-23 18:00:00",72.8,21949119
"2015-09-24 18:00:00",73.4,2309355
"2015-09-25 18:00:00",73.75,3089396
"2015-09-28 18:00:00",74.4,7146017
"2015-09-29 18:00:00",74.5,2436166
"2015-09-30 18:00:00",74.5,7521797
"2015-10-01 18:00:00",75,1744414
"2015-10-02 18:00:00",74.7,3973004
"2015-10-05 18:00:00",75.2,1636521
"2015-10-06 18:00:00",75.3,158719
"2015-10-07 18:00:00",75.7,1421511
"2015-10-08 18:00:00",75.9,623406
"2015-10-09 18:00:00",75.3,884897
"2015-10-12 18:00:00",76.3,1279913
"2015-10-13 18:00:00",79.65,18098749
"2015-10-14 18:00:00",80.6,6342325
"2015-10-15 18:00:00",81.5,10432579
"2015-10-16 18:00:00",82.1,1674118
"2015-10-19 18:00:00",82.3,4736850
"2015-10-20 18:00:00",83.5,2450797
"2015-10-21 18:00:00",83.7,2305389
"2015-10-22 18:00:00",84.5,2223583
"2015-10-23 18:00:00",83.8,1652225
"2015-10-26 18:00:00",85,1749355
"2015-10-27 18:00:00",85.1,2683395
"2015-10-28 18:00:00",85,373409
"2015-10-29 18:00:00",85.5,2199551
"2015-10-30 18:00:00",84.8,6039077
"2015-11-02 18:00:00",85,90470
"2015-11-03 18:00:00",85.25,2740308
"2015-11-04 18:00:00",84.8,882299
"2015-11-05 18:00:00",84.7,2194868
"2015-11-06 18:00:00",83.3,1820802
"2015-11-09 18:00:00",83.4,57267
"2015-11-10 18:00:00",83.95,686123
"2015-11-11 18:00:00",82.7,1065173
"2015-11-12 18:00:00",82,2514814
"2015-11-13 18:00:00",83.1,7746174
"2015-11-16 18:00:00",83.25,658144
"2015-11-17 18:00:00",83.2,1358765
"2015-11-18 18:00:00",82,1430000
"2015-11-19 18:00:00",83.5,445923
"2015-11-20 18:00:00",83.65,2937874
"2015-11-23 18:00:00",84,1350000
"2015-11-24 18:00:00",83.6,1047876
"2015-11-25 18:00:00",83.5,2090863
"2015-11-26 18:00:00",83.5,0
"2015-11-27 18:00:00",83,3937
"2015-11-30 18:00:00",83.5,2430619
"2015-12-01 18:00:00",83,655157
"2015-12-02 18:00:00",84,1838224
"2015-12-03 18:00:00",83.4,1644326
"2015-12-04 18:00:00",83.4,270000
"2015-12-07 18:00:00",83.2,750619
"2015-12-08 18:00:00",83.1,5000
"2015-12-09 18:00:00",83.8,2421248
"2015-12-10 18:00:00",83.3,15748
"2015-12-11 18:00:00",84.4,674802
"2015-12-14 18:00:00",84.1,2467408
"2015-12-15 18:00:00",83.5,13996
"2015-12-16 18:00:00",83.5,22914
"2015-12-17 18:00:00",83.4,42055
"2015-12-18 18:00:00",83.4,155085
"2015-12-21 18:00:00",83.55,2512360
"2015-12-22 18:00:00",83.2,130572
"2015-12-23 18:00:00",83,594663
"2015-12-28 18:00:00",83.1,658175
"2015-12-29 18:00:00",83.8,382874
"2015-12-30 18:00:00",83.9,2041704
"2016-01-04 18:00:00",84,1317175
"2016-01-05 18:00:00",85.65,2108493
"2016-01-06 18:00:00",85.6,1528877
"2016-01-07 18:00:00",85.7,3207630
"2016-01-08 18:00:00",85.8,2792625
"2016-01-11 18:00:00",84.4,4013654
"2016-01-12 18:00:00",85.1,361923
"2016-01-13 18:00:00",84.3,64124
"2016-01-14 18:00:00",83.3,1704180
"2016-01-15 18:00:00",81.8,1409000
"2016-01-18 18:00:00",80.5,3462863
"2016-01-19 18:00:00",82.6,6977884
"2016-01-20 18:00:00",82.2,1254724
"2016-01-21 18:00:00",83,1862500
"2016-01-22 18:00:00",83.6,871542
"2016-01-25 18:00:00",83.5,1107894
"2016-01-26 18:00:00",83.1,15748
"2016-01-27 18:00:00",83.1,892316
"2016-01-28 18:00:00",83.6,2020000
"2016-01-29 18:00:00",82.6,2827686
"2016-02-01 18:00:00",82.6,1615000
"2016-02-02 18:00:00",82.3,454172
"2016-02-03 18:00:00",82.3,0
"2016-02-04 18:00:00",82.5,1000000
"2016-02-05 18:00:00",83,1412317
"2016-02-08 18:00:00",81.1,3426594
"2016-02-09 18:00:00",80.4,5043223
"2016-02-10 18:00:00",80,1380327
"2016-02-11 18:00:00",79.9,1250300
