"DateTime","Síminn Verð ","Síminn Magn"
"2015-10-15 18:00:00",3.49,178103340
"2015-10-16 18:00:00",3.5,464928975
"2015-10-19 18:00:00",3.66,271239519
"2015-10-20 18:00:00",3.7,125370157
"2015-10-21 18:00:00",3.69,135354857
"2015-10-22 18:00:00",3.65,73423387
"2015-10-23 18:00:00",3.64,26568800
"2015-10-26 18:00:00",3.64,13608781
"2015-10-27 18:00:00",3.63,3378266
"2015-10-28 18:00:00",3.57,33737964
"2015-10-29 18:00:00",3.58,49717056
"2015-10-30 18:00:00",3.64,132226756
"2015-11-02 18:00:00",3.65,15062430
"2015-11-03 18:00:00",3.66,5892986
"2015-11-04 18:00:00",3.53,124401781
"2015-11-05 18:00:00",3.55,72622189
"2015-11-06 18:00:00",3.56,18229355
"2015-11-09 18:00:00",3.56,31585605
"2015-11-10 18:00:00",3.57,8512218
"2015-11-11 18:00:00",3.49,53065091
"2015-11-12 18:00:00",3.48,30184622
"2015-11-13 18:00:00",3.54,32444458
"2015-11-16 18:00:00",3.52,3435282
"2015-11-17 18:00:00",3.485,28188129
"2015-11-18 18:00:00",3.47,675745
"2015-11-19 18:00:00",3.49,16098287
"2015-11-20 18:00:00",3.5,8353911
"2015-11-23 18:00:00",3.52,13197379
"2015-11-24 18:00:00",3.51,4935508
"2015-11-25 18:00:00",3.47,23736895
"2015-11-26 18:00:00",3.45,49403474
"2015-11-27 18:00:00",3.4,26973906
"2015-11-30 18:00:00",3.4,7377276
"2015-12-01 18:00:00",3.4,23706461
"2015-12-02 18:00:00",3.41,9301283
"2015-12-03 18:00:00",3.4,1775363
"2015-12-04 18:00:00",3.41,1519841
"2015-12-07 18:00:00",3.41,6339361
"2015-12-08 18:00:00",3.39,6316563
"2015-12-09 18:00:00",3.39,2557452
"2015-12-10 18:00:00",3.4,27990766
"2015-12-11 18:00:00",3.41,26340663
"2015-12-14 18:00:00",3.45,45802500
"2015-12-15 18:00:00",3.42,765324
"2015-12-16 18:00:00",3.43,1857964
"2015-12-17 18:00:00",3.48,62601762
"2015-12-18 18:00:00",3.47,12983341
"2015-12-21 18:00:00",3.48,7841969
"2015-12-22 18:00:00",3.52,10980726
"2015-12-23 18:00:00",3.6,159692123
"2015-12-28 18:00:00",3.62,25805887
"2015-12-29 18:00:00",3.625,45556004
"2015-12-30 18:00:00",3.62,31741734
"2016-01-04 18:00:00",3.69,148323546
"2016-01-05 18:00:00",3.7,96566428
"2016-01-06 18:00:00",3.7,80151380
"2016-01-07 18:00:00",3.66,56503049
"2016-01-08 18:00:00",3.66,29607582
"2016-01-11 18:00:00",3.59,23160427
"2016-01-12 18:00:00",3.59,8424797
