"DateTime","Sjóvá-Almennar tryggingar Verð ","Sjóvá-Almennar tryggingar Magn"
"2014-04-11 18:00:00",13.7,18586608
"2014-04-14 18:00:00",13.57,4272959
"2014-04-15 18:00:00",13.44,12843535
"2014-04-16 18:00:00",13.4,4351089
"2014-04-22 18:00:00",13.21,6961210
"2014-04-23 18:00:00",13.23,1456146
"2014-04-25 18:00:00",13.4,4310955
"2014-04-28 18:00:00",13.36,2112392
"2014-04-29 18:00:00",13.1,9967849
"2014-04-30 18:00:00",13.2,11611248
"2014-05-02 18:00:00",12.95,5173689
"2014-05-05 18:00:00",12.97,2099761
"2014-05-06 18:00:00",12.87,7525741
"2014-05-07 18:00:00",12.85,4045545
"2014-05-08 18:00:00",12.84,365503
"2014-05-09 18:00:00",12.8,486876
"2014-05-12 18:00:00",12.72,1449618
"2014-05-13 18:00:00",12.82,1948296
"2014-05-14 18:00:00",12.68,195501
"2014-05-15 18:00:00",12.75,6020957
"2014-05-16 18:00:00",12.75,2120701
"2014-05-19 18:00:00",12.7,524209
"2014-05-20 18:00:00",12.65,1585592
"2014-05-21 18:00:00",12.63,1673545
"2014-05-22 18:00:00",12.63,112136
"2014-05-23 18:00:00",12.6,3696535
"2014-05-26 18:00:00",12.63,8535593
"2014-05-27 18:00:00",12.51,7460973
"2014-05-28 18:00:00",12.71,10210594
"2014-05-30 18:00:00",12.8,8498499
"2014-06-02 18:00:00",12.7,3669235
"2014-06-03 18:00:00",12.72,1230764
"2014-06-04 18:00:00",12.71,486735
"2014-06-05 18:00:00",12.61,2362254
"2014-06-06 18:00:00",12.61,293759
"2014-06-10 18:00:00",12.61,3744482
"2014-06-11 18:00:00",12.6,2095330
"2014-06-12 18:00:00",12.41,4557198
"2014-06-13 18:00:00",12.475,1205206
"2014-06-16 18:00:00",12.36,1633462
"2014-06-18 18:00:00",12.36,285999
"2014-06-19 18:00:00",12.23,6618265
"2014-06-20 18:00:00",12.35,7190660
"2014-06-23 18:00:00",12.5,5211745
"2014-06-24 18:00:00",12.43,330989
"2014-06-25 18:00:00",12.38,251849
"2014-06-26 18:00:00",12.38,95330
"2014-06-27 18:00:00",12.38,54938
"2014-06-30 18:00:00",12.38,4972774
"2014-07-01 18:00:00",12.4,1288400
"2014-07-02 18:00:00",12.25,28056595
"2014-07-03 18:00:00",12.13,90596
"2014-07-04 18:00:00",12.14,1208722
"2014-07-07 18:00:00",11.9,9484270
"2014-07-08 18:00:00",11.82,1122799
"2014-07-09 18:00:00",11.8,131161
"2014-07-10 18:00:00",11.82,843315
"2014-07-11 18:00:00",11.83,6309726
"2014-07-14 18:00:00",11.8,78673
"2014-07-15 18:00:00",11.45,15269066
"2014-07-16 18:00:00",11.64,9557198
"2014-07-17 18:00:00",11.87,13082271
"2014-07-18 18:00:00",11.91,7057198
"2014-07-21 18:00:00",11.86,19066
"2014-07-22 18:00:00",11.86,23538132
"2014-07-23 18:00:00",11.85,67029
"2014-07-24 18:00:00",11.85,50737
"2014-07-25 18:00:00",11.85,1057410
"2014-07-28 18:00:00",11.7,2038394
"2014-07-29 18:00:00",11.65,445264
"2014-07-30 18:00:00",11.7,769066
"2014-07-31 18:00:00",11.63,14500
"2014-08-01 18:00:00",11.78,1462182
"2014-08-05 18:00:00",11.75,86684
"2014-08-06 18:00:00",11.72,2000000
"2014-08-07 18:00:00",11.72,1000000
"2014-08-08 18:00:00",11.65,19066
"2014-08-11 18:00:00",11.77,1025487
"2014-08-12 18:00:00",11.74,87616
"2014-08-13 18:00:00",11.68,1114396
"2014-08-14 18:00:00",11.68,0
"2014-08-15 18:00:00",11.695,1031442
"2014-08-18 18:00:00",11.64,65863
"2014-08-19 18:00:00",11.63,64198
"2014-08-20 18:00:00",11.87,5076264
"2014-08-21 18:00:00",11.98,326264
"2014-08-22 18:00:00",11.99,1150268
"2014-08-25 18:00:00",11.88,169377
