"DateTime","Skeljungur hf. Verð ","Skeljungur hf. Magn"
"1970-01-01 00:00:00",,
"2000-10-30 18:00:00",,26409
"2000-10-31 18:00:00",,0
"2000-11-01 18:00:00",,0
"2000-11-02 18:00:00",9.5,20000
"2000-11-03 18:00:00",9.4,0
"2000-11-06 18:00:00",9.4,0
"2000-11-07 18:00:00",9.3,0
"2000-11-08 18:00:00",9.3,0
"2000-11-09 18:00:00",9.3,0
"2000-11-10 18:00:00",8.9,290000
"2000-11-13 18:00:00",8.8,0
"2000-11-14 18:00:00",9,50000
"2000-11-15 18:00:00",9,0
"2000-11-16 18:00:00",9,0
"2000-11-17 18:00:00",9,0
"2000-11-20 18:00:00",9,0
"2000-11-21 18:00:00",9,0
"2000-11-22 18:00:00",9,0
"2000-11-23 18:00:00",8.7,0
"2000-11-24 18:00:00",8.65,1000000
"2000-11-27 18:00:00",8.6,122000
"2000-11-28 18:00:00",8.9,33094871
"2000-11-29 18:00:00",8.9,0
"2000-11-30 18:00:00",8.8,0
"2000-12-01 18:00:00",8.8,636462
"2000-12-04 18:00:00",8.55,590672
"2000-12-05 18:00:00",8.6,0
"2000-12-06 18:00:00",8.55,280000
"2000-12-07 18:00:00",8.6,0
"2000-12-08 18:00:00",8.6,802924
"2000-12-11 18:00:00",8.85,1382924
"2000-12-12 18:00:00",8.85,186571
"2000-12-13 18:00:00",8.8,0
"2000-12-14 18:00:00",8.8,100000
"2000-12-15 18:00:00",8.75,0
"2000-12-18 18:00:00",8.75,100000
"2000-12-19 18:00:00",8.6,2630000
"2000-12-20 18:00:00",8.55,280000
"2000-12-21 18:00:00",8.45,208425
"2000-12-22 18:00:00",8.45,0
"2000-12-27 18:00:00",8.45,1251479
"2000-12-28 18:00:00",8.6,100000
"2000-12-29 18:00:00",8.55,117648
"2001-01-03 18:00:00",8.55,0
"2001-01-04 18:00:00",8.3,130000
"2001-01-05 18:00:00",8.25,175000
"2001-01-08 18:00:00",8.25,0
"2001-01-09 18:00:00",8.15,280000
"2001-01-10 18:00:00",8,1813166
"2001-01-11 18:00:00",8,0
"2001-01-12 18:00:00",8,0
"2001-01-15 18:00:00",8,150000
"2001-01-16 18:00:00",7.95,1262934
"2001-01-17 18:00:00",7.95,0
"2001-01-18 18:00:00",7.95,0
"2001-01-19 18:00:00",7.95,0
"2001-01-22 18:00:00",7.8,0
"2001-01-23 18:00:00",7.8,25000
"2001-01-24 18:00:00",7.8,24037
"2001-01-25 18:00:00",7.8,0
"2001-01-26 18:00:00",7.8,0
"2001-01-29 18:00:00",7.8,0
"2001-01-30 18:00:00",7.9,575000
"2001-01-31 18:00:00",8,96752
"2001-02-01 18:00:00",8,103000
"2001-02-02 18:00:00",8,3000
"2001-02-05 18:00:00",7.9,0
"2001-02-06 18:00:00",8.2,1829388
"2001-02-07 18:00:00",8.2,0
"2001-02-08 18:00:00",8.2,0
"2001-02-09 18:00:00",8.3,350000
"2001-02-12 18:00:00",8.3,16500
"2001-02-13 18:00:00",8.25,0
"2001-02-14 18:00:00",8,42240
"2001-02-15 18:00:00",8,60000
"2001-02-16 18:00:00",8.2,15855
"2001-02-19 18:00:00",8.2,2240
"2001-02-20 18:00:00",8,29194
"2001-02-21 18:00:00",8,0
"2001-02-22 18:00:00",8.4,1280365
