"DateTime","Tryggingamiðstöðin Verð ","Tryggingamiðstöðin Magn"
"2013-05-08 18:00:00",26.7,50730024
"2013-05-10 18:00:00",26.35,10242266
"2013-05-13 18:00:00",25.85,17514526
"2013-05-14 18:00:00",25.35,29336753
"2013-05-15 18:00:00",25.5,5871928
"2013-05-16 18:00:00",25.55,5821311
"2013-05-17 18:00:00",25.65,16437359
"2013-05-21 18:00:00",26,5049707
"2013-05-22 18:00:00",26.6,13017700
"2013-05-23 18:00:00",26.35,3153306
"2013-05-24 18:00:00",26.4,1845802
"2013-05-27 18:00:00",26.3,4977024
"2013-05-28 18:00:00",26.25,3973840
"2013-05-29 18:00:00",26,7799554
"2013-05-30 18:00:00",25.85,2213464
"2013-05-31 18:00:00",26.4,39901808
"2013-06-03 18:00:00",26.4,1674204
"2013-06-04 18:00:00",26.4,2823422
"2013-06-05 18:00:00",26.35,2370219
"2013-06-06 18:00:00",26.15,2952240
"2013-06-07 18:00:00",26.35,10924591
"2013-06-10 18:00:00",26.4,3195618
"2013-06-11 18:00:00",26.5,6128406
"2013-06-12 18:00:00",26.55,1368016
"2013-06-13 18:00:00",26.6,2793371
"2013-06-14 18:00:00",27,4084672
"2013-06-18 18:00:00",26.85,4702303
"2013-06-19 18:00:00",26.6,11152760
"2013-06-20 18:00:00",26.9,3194003
"2013-06-21 18:00:00",26.75,102430
"2013-06-24 18:00:00",26.75,5567500
"2013-06-25 18:00:00",26.75,4371226
"2013-06-26 18:00:00",26.85,170889
"2013-06-27 18:00:00",26.65,5284531
"2013-06-28 18:00:00",26.7,3643102
"2013-07-01 18:00:00",26.65,1179114
"2013-07-02 18:00:00",27.1,6109902
"2013-07-03 18:00:00",27.05,5054400
"2013-07-04 18:00:00",26.95,5982884
"2013-07-05 18:00:00",26.85,2053878
"2013-07-08 18:00:00",26.6,146037
"2013-07-09 18:00:00",26.6,501950
"2013-07-10 18:00:00",26.75,1074780
"2013-07-11 18:00:00",27.05,6554197
"2013-07-12 18:00:00",27.25,10828430
"2013-07-15 18:00:00",27.3,1251265
"2013-07-16 18:00:00",27.45,3179852
"2013-07-17 18:00:00",27.7,1146130
"2013-07-18 18:00:00",27.9,6411173
"2013-07-19 18:00:00",28.05,3043772
"2013-07-22 18:00:00",28,321500
"2013-07-23 18:00:00",28.2,153203
"2013-07-24 18:00:00",28.1,2892430
"2013-07-25 18:00:00",28.3,2820534
"2013-07-26 18:00:00",28.3,1208923
"2013-07-29 18:00:00",28.2,99578
"2013-07-30 18:00:00",28.3,673058
"2013-07-31 18:00:00",28.55,3213335
"2013-08-01 18:00:00",29.2,12523747
"2013-08-02 18:00:00",29.65,6121460
"2013-08-06 18:00:00",29.55,901341
"2013-08-07 18:00:00",29.95,6681019
"2013-08-08 18:00:00",30.2,2237080
"2013-08-09 18:00:00",30.6,614935
"2013-08-12 18:00:00",30.5,938869
"2013-08-13 18:00:00",30.65,3075605
"2013-08-14 18:00:00",31.4,11674123
"2013-08-15 18:00:00",31,884469
"2013-08-16 18:00:00",30.2,3070540
"2013-08-19 18:00:00",30.2,3273333
"2013-08-20 18:00:00",31,8071193
"2013-08-21 18:00:00",30.7,5031172
"2013-08-22 18:00:00",30.7,3168743
"2013-08-23 18:00:00",30.65,2092826
"2013-08-26 18:00:00",30.2,2732101
"2013-08-27 18:00:00",30.15,2737344
"2013-08-28 18:00:00",30.05,2027333
"2013-08-29 18:00:00",29.9,94829
"2013-08-30 18:00:00",29.75,272841
"2013-09-02 18:00:00",30.45,8958877
"2013-09-03 18:00:00",30.65,8104362
"2013-09-04 18:00:00",30.6,3680683
"2013-09-05 18:00:00",30.3,18757731
"2013-09-06 18:00:00",29.7,2143571
"2013-09-09 18:00:00",29.7,132420
"2013-09-10 18:00:00",29.7,3111364
"2013-09-11 18:00:00",29.5,222500
"2013-09-12 18:00:00",30,4489689
"2013-09-13 18:00:00",30.15,4112794
"2013-09-16 18:00:00",30.2,3060054
"2013-09-17 18:00:00",30.2,132985
"2013-09-18 18:00:00",30.05,89052
"2013-09-19 18:00:00",30.1,195763
"2013-09-20 18:00:00",30.1,150417
"2013-09-23 18:00:00",30,1402420
"2013-09-24 18:00:00",30,145573
"2013-09-25 18:00:00",30,1640297
"2013-09-26 18:00:00",30,1168124
"2013-09-27 18:00:00",30.25,673711
"2013-09-30 18:00:00",30,169893
"2013-10-01 18:00:00",29.6,1612500
"2013-10-02 18:00:00",29.5,8448540
"2013-10-03 18:00:00",29.45,3737723
"2013-10-04 18:00:00",29.4,112500
"2013-10-07 18:00:00",29.35,90552
"2013-10-08 18:00:00",29.4,1387903
"2013-10-09 18:00:00",29.6,2037420
"2013-10-10 18:00:00",29.85,2900321
"2013-10-11 18:00:00",29.9,6234766
"2013-10-14 18:00:00",30,855000
"2013-10-15 18:00:00",30,1556150
"2013-10-16 18:00:00",30,305780
"2013-10-17 18:00:00",29.95,840373
"2013-10-18 18:00:00",30,285061
"2013-10-21 18:00:00",30.15,6176840
"2013-10-22 18:00:00",30.1,60924
"2013-10-23 18:00:00",30.35,359067
"2013-10-24 18:00:00",30.35,3212430
"2013-10-25 18:00:00",30.15,95745
