"DateTime","Vátryggingafélag Íslands Verð ","Vátryggingafélag Íslands Magn"
"2013-04-24 18:00:00",9.22,166008765
"2013-04-26 18:00:00",9.56,55813569
"2013-04-29 18:00:00",9.59,34533644
"2013-04-30 18:00:00",9.93,42388548
"2013-05-02 18:00:00",9.88,23302063
"2013-05-03 18:00:00",10.05,60702870
"2013-05-06 18:00:00",10.06,11166274
"2013-05-07 18:00:00",10.2,38740337
"2013-05-08 18:00:00",10.2,64707780
"2013-05-10 18:00:00",10,56918274
"2013-05-13 18:00:00",9.97,42408118
"2013-05-14 18:00:00",9.98,81605666
"2013-05-15 18:00:00",9.95,12559758
"2013-05-16 18:00:00",9.91,11330188
"2013-05-17 18:00:00",9.86,66493206
"2013-05-21 18:00:00",10.07,87378132
"2013-05-22 18:00:00",10.18,13765656
"2013-05-23 18:00:00",10.05,6502682
"2013-05-24 18:00:00",10.01,28120822
"2013-05-27 18:00:00",9.95,7074494
"2013-05-28 18:00:00",9.85,19093208
"2013-05-29 18:00:00",9.91,67391040
"2013-05-30 18:00:00",9.84,38663475
"2013-05-31 18:00:00",9.97,55386662
"2013-06-03 18:00:00",9.97,6230272
"2013-06-04 18:00:00",9.94,7222247
"2013-06-05 18:00:00",9.95,1606689
"2013-06-06 18:00:00",9.93,6909193
"2013-06-07 18:00:00",10.05,21028985
"2013-06-10 18:00:00",9.96,2639486
"2013-06-11 18:00:00",10.02,8475739
"2013-06-12 18:00:00",10.05,1787293
"2013-06-13 18:00:00",10.15,17093398
"2013-06-14 18:00:00",10.26,31766781
"2013-06-18 18:00:00",10.16,16242689
"2013-06-19 18:00:00",10.1,17989136
"2013-06-20 18:00:00",10.22,5887794
"2013-06-21 18:00:00",10.13,280000
"2013-06-24 18:00:00",10.14,17531744
"2013-06-25 18:00:00",10.17,4855648
"2013-06-26 18:00:00",10.14,2795321
"2013-06-27 18:00:00",10.1,7356703
"2013-06-28 18:00:00",10.08,4982249
"2013-07-01 18:00:00",10.17,11581568
"2013-07-02 18:00:00",10.3,6340963
"2013-07-03 18:00:00",10.25,9369976
"2013-07-04 18:00:00",10.19,708984
"2013-07-05 18:00:00",10.06,6324182
"2013-07-08 18:00:00",10.01,341138
"2013-07-09 18:00:00",10.04,313173
"2013-07-10 18:00:00",10.06,2687119
"2013-07-11 18:00:00",10.3,29239276
"2013-07-12 18:00:00",10.28,18432703
"2013-07-15 18:00:00",10.17,5749203
"2013-07-16 18:00:00",10.33,1203079
"2013-07-17 18:00:00",10.4,9525786
"2013-07-18 18:00:00",10.5,13066530
"2013-07-19 18:00:00",10.56,4649642
"2013-07-22 18:00:00",10.58,277012
"2013-07-23 18:00:00",10.6,11050000
"2013-07-24 18:00:00",10.81,4461027
"2013-07-25 18:00:00",10.85,1430189
"2013-07-26 18:00:00",10.86,4665206
"2013-07-29 18:00:00",10.81,1149893
"2013-07-30 18:00:00",10.83,15782478
"2013-07-31 18:00:00",10.9,5802562
"2013-08-01 18:00:00",11.15,34223970
"2013-08-02 18:00:00",11.1,23510090
"2013-08-06 18:00:00",11.15,11458911
"2013-08-07 18:00:00",11.21,5222570
"2013-08-08 18:00:00",11.24,21338239
"2013-08-09 18:00:00",11.34,10671546
"2013-08-12 18:00:00",11.34,3758175
"2013-08-13 18:00:00",11.39,31463785
"2013-08-14 18:00:00",11.51,5126430
"2013-08-15 18:00:00",11.51,1976342
"2013-08-16 18:00:00",11.1,27941821
"2013-08-19 18:00:00",11,18567568
"2013-08-20 18:00:00",11.1,29850574
"2013-08-21 18:00:00",10.76,49070917
"2013-08-22 18:00:00",10.75,14388937
"2013-08-23 18:00:00",10.85,313581
"2013-08-26 18:00:00",10.71,13077460
"2013-08-27 18:00:00",10.67,8607739
"2013-08-28 18:00:00",10.7,2575631
"2013-08-29 18:00:00",10.57,8720065
"2013-08-30 18:00:00",10.43,379963
"2013-09-02 18:00:00",10.7,12847770
"2013-09-03 18:00:00",10.74,19589931
"2013-09-04 18:00:00",10.72,7904601
"2013-09-05 18:00:00",10.49,73378469
"2013-09-06 18:00:00",10.4,9175504
"2013-09-09 18:00:00",10.34,2619782
"2013-09-10 18:00:00",10.34,5477361
"2013-09-11 18:00:00",10.25,15480295
"2013-09-12 18:00:00",10.5,17734180
"2013-09-13 18:00:00",10.69,18402939
"2013-09-16 18:00:00",10.83,17798896
"2013-09-17 18:00:00",10.9,5881565
"2013-09-18 18:00:00",10.79,1575201
"2013-09-19 18:00:00",10.67,5285223
"2013-09-20 18:00:00",10.66,8808832
"2013-09-23 18:00:00",10.56,2165225
"2013-09-24 18:00:00",10.6,3249256
"2013-09-25 18:00:00",10.62,730983
"2013-09-26 18:00:00",10.63,4261727
"2013-09-27 18:00:00",10.63,4737648
"2013-09-30 18:00:00",10.55,885392
"2013-10-01 18:00:00",10.44,18500000
"2013-10-02 18:00:00",10.6,25131874
"2013-10-03 18:00:00",10.61,9477985
"2013-10-04 18:00:00",10.6,7799798
"2013-10-07 18:00:00",10.65,7847735
"2013-10-08 18:00:00",10.7,11403680
"2013-10-09 18:00:00",10.74,13038049
"2013-10-10 18:00:00",10.81,9769772
"2013-10-11 18:00:00",10.92,25832598
"2013-10-14 18:00:00",10.92,3444219
"2013-10-15 18:00:00",10.94,9221007
"2013-10-16 18:00:00",11,11530985
"2013-10-17 18:00:00",10.98,22017120
"2013-10-18 18:00:00",11.05,2406289
"2013-10-21 18:00:00",11.18,9753647
"2013-10-22 18:00:00",11.07,544055
"2013-10-23 18:00:00",11.15,280000
"2013-10-24 18:00:00",11.2,7925786
"2013-10-25 18:00:00",11.17,14483260
"2013-10-28 18:00:00",11.2,182893
"2013-10-29 18:00:00",11.135,6771910
"2013-10-30 18:00:00",11.2,7982102
"2013-10-31 18:00:00",11.22,18755090
"2013-11-01 18:00:00",11.21,35482264
"2013-11-04 18:00:00",11.2,10843966
"2013-11-05 18:00:00",11.15,1611400
"2013-11-06 18:00:00",11,23250313
"2013-11-07 18:00:00",10.97,6513654
"2013-11-08 18:00:00",11.07,50000
"2013-11-11 18:00:00",11,252254
"2013-11-12 18:00:00",11.07,4728313
"2013-11-13 18:00:00",11.15,12766206
"2013-11-14 18:00:00",11.07,7138883
"2013-11-15 18:00:00",11.12,1896446
"2013-11-18 18:00:00",11.04,2033957
"2013-11-19 18:00:00",11.07,600000
"2013-11-20 18:00:00",11.04,48452411
"2013-11-21 18:00:00",11.1,7335123
"2013-11-22 18:00:00",10.85,14524642
"2013-11-25 18:00:00",10.75,9810000
"2013-11-26 18:00:00",10.65,14262114
"2013-11-27 18:00:00",10.85,27385534
"2013-11-28 18:00:00",11.03,25750010
"2013-11-29 18:00:00",10.95,5106953
"2013-12-02 18:00:00",11,4331194
"2013-12-03 18:00:00",11,2443179
"2013-12-04 18:00:00",11.16,20140690
"2013-12-05 18:00:00",11.08,6250645
"2013-12-06 18:00:00",11.16,20702380
"2013-12-09 18:00:00",11.15,19462355
"2013-12-10 18:00:00",11.15,5057232
"2013-12-11 18:00:00",11.07,11980993
"2013-12-12 18:00:00",10.91,21953056
"2013-12-13 18:00:00",10.95,685471
"2013-12-16 18:00:00",10.9,2947470
"2013-12-17 18:00:00",10.92,29038053
"2013-12-18 18:00:00",10.87,1722930
"2013-12-19 18:00:00",10.8,9860896
"2013-12-20 18:00:00",10.79,19025912
"2013-12-23 18:00:00",10.7,2856038
"2013-12-27 18:00:00",10.8,2340508
"2013-12-30 18:00:00",10.79,3654119
"2014-01-02 18:00:00",10.95,9489961
"2014-01-03 18:00:00",10.99,29467740
"2014-01-06 18:00:00",10.99,7316279
"2014-01-07 18:00:00",10.8,9615887
"2014-01-08 18:00:00",10.61,9833459
"2014-01-09 18:00:00",10.7,12085435
"2014-01-10 18:00:00",10.8,320008
"2014-01-13 18:00:00",10.8,0
"2014-01-14 18:00:00",10.71,11093000
"2014-01-15 18:00:00",10.66,5565459
"2014-01-16 18:00:00",10.7,1250683
"2014-01-17 18:00:00",10.75,2332932
"2014-01-20 18:00:00",10.74,5691050
"2014-01-21 18:00:00",10.66,1009300
"2014-01-22 18:00:00",10.65,1986572
"2014-01-23 18:00:00",10.73,6399190
"2014-01-24 18:00:00",10.86,18170000
"2014-01-27 18:00:00",10.7,9369465
"2014-01-28 18:00:00",10.6,503145
"2014-01-29 18:00:00",10.55,10153091
"2014-01-30 18:00:00",10.65,18080096
"2014-01-31 18:00:00",10.7,673796
"2014-02-03 18:00:00",10.65,5680130
"2014-02-04 18:00:00",10.55,3439717
"2014-02-05 18:00:00",10.73,23145311
"2014-02-06 18:00:00",10.8,17209376
"2014-02-07 18:00:00",10.65,4868805
"2014-02-10 18:00:00",10.7,728302
"2014-02-11 18:00:00",10.65,6590000
"2014-02-12 18:00:00",10.65,515157
"2014-02-13 18:00:00",10.54,4175553
"2014-02-14 18:00:00",10.6,2228096
"2014-02-17 18:00:00",10.55,4836741
"2014-02-18 18:00:00",10.56,3139797
"2014-02-19 18:00:00",10.56,320755
"2014-02-20 18:00:00",10.64,1777467
"2014-02-21 18:00:00",10.65,2595000
"2014-02-24 18:00:00",10.56,1456384
"2014-02-25 18:00:00",10.38,13672924
"2014-02-26 18:00:00",10.6,8137737
"2014-02-27 18:00:00",10.68,6050314
"2014-02-28 18:00:00",10.55,4720157
"2014-03-03 18:00:00",10.51,1007733
"2014-03-04 18:00:00",10.51,3442291
"2014-03-05 18:00:00",10.72,1600374
"2014-03-06 18:00:00",10.67,1451432
"2014-03-07 18:00:00",10.58,2433318
"2014-03-10 18:00:00",10.59,4156703
"2014-03-11 18:00:00",10.58,5721535
"2014-03-12 18:00:00",10.59,172330
"2014-03-13 18:00:00",10.68,1031579
"2014-03-14 18:00:00",9.85,3417960
"2014-03-17 18:00:00",9.96,79144
"2014-03-18 18:00:00",9.98,20000
