"DateTime","Fjarskipti Verð ","Fjarskipti Magn"
"2012-12-18 18:00:00",32.2,5005101
"2012-12-19 18:00:00",32.55,2492016
"2012-12-20 18:00:00",32.7,2805354
"2012-12-21 18:00:00",32.7,1813072
"2012-12-27 18:00:00",32.3,577213
"2012-12-28 18:00:00",32.55,748536
"2013-01-02 18:00:00",32.7,3037948
"2013-01-03 18:00:00",32.8,7954894
"2013-01-04 18:00:00",32.95,6175818
"2013-01-07 18:00:00",32.85,2922181
"2013-01-08 18:00:00",32.8,2637702
"2013-01-09 18:00:00",32.8,265649
"2013-01-10 18:00:00",32.75,6090388
"2013-01-11 18:00:00",32.75,6997709
"2013-01-14 18:00:00",32.9,2546622
"2013-01-15 18:00:00",32.9,1971424
"2013-01-16 18:00:00",32.95,1605476
"2013-01-17 18:00:00",32.95,2317964
"2013-01-18 18:00:00",32.95,510201
"2013-01-21 18:00:00",33.2,1426105
"2013-01-22 18:00:00",33.15,23532
"2013-01-23 18:00:00",33,16117
"2013-01-24 18:00:00",33.2,660484
"2013-01-25 18:00:00",33,1468619
"2013-01-28 18:00:00",33.1,1225000
"2013-01-29 18:00:00",33,470152
"2013-01-30 18:00:00",33.1,742548
"2013-01-31 18:00:00",33.1,250000
"2013-02-01 18:00:00",32.9,350000
"2013-02-04 18:00:00",32.95,674942
"2013-02-05 18:00:00",33.2,8356476
"2013-02-06 18:00:00",33.25,975003
"2013-02-07 18:00:00",33.5,1335699
"2013-02-08 18:00:00",34.25,1500000
"2013-02-11 18:00:00",34.2,307500
"2013-02-12 18:00:00",34.2,2775692
"2013-02-13 18:00:00",34.3,656349
"2013-02-14 18:00:00",34.2,447619
"2013-02-15 18:00:00",34.15,800000
"2013-02-18 18:00:00",34,29268
"2013-02-19 18:00:00",33.9,854288
"2013-02-20 18:00:00",33.9,15873
"2013-02-21 18:00:00",34,1283000
"2013-02-22 18:00:00",33.9,511813
"2013-02-25 18:00:00",33.8,690445
"2013-02-26 18:00:00",33.8,0
"2013-02-27 18:00:00",33.9,1149037
"2013-02-28 18:00:00",33.7,399941
"2013-03-01 18:00:00",33.55,550630
"2013-03-04 18:00:00",33.35,125000
"2013-03-05 18:00:00",33.4,154268
"2013-03-06 18:00:00",33.4,2500
"2013-03-07 18:00:00",33.65,109668
"2013-03-08 18:00:00",33.2,4157959
"2013-03-11 18:00:00",33.5,399700
"2013-03-12 18:00:00",34.4,14011184
"2013-03-13 18:00:00",34.2,1524796
"2013-03-14 18:00:00",34.1,814285
"2013-03-15 18:00:00",34.2,2600000
"2013-03-18 18:00:00",34.15,550000
"2013-03-19 18:00:00",34.2,4530239
"2013-03-20 18:00:00",34.2,252443
"2013-03-21 18:00:00",34.5,13769114
"2013-03-22 18:00:00",34.5,1034936
"2013-03-25 18:00:00",34.7,233902
"2013-03-26 18:00:00",34.4,15873
"2013-03-27 18:00:00",34.85,957936
"2013-04-02 18:00:00",34.7,71217407
"2013-04-03 18:00:00",34.55,4850000
"2013-04-04 18:00:00",34.55,4617940
"2013-04-05 18:00:00",34.2,1900000
"2013-04-08 18:00:00",34,440294
"2013-04-09 18:00:00",34.25,306262
"2013-04-10 18:00:00",34.1,7869
"2013-04-11 18:00:00",34,63492
"2013-04-12 18:00:00",33.7,1700000
"2013-04-15 18:00:00",33.4,44442
