Date,EIK,EIM,GRND,HAGA,ICEAIR,MARL,N1,NYHR,OSSRu,REGINN,REITIR,SIMINN,SJOVA,SKEL,TM,VIS,VOICE,OMXIPI_Index
1970-01-01 00:00:00,,,,,,,,,,,,,,,,,,
1992-12-30 18:00:00,,,2.2,,,2.62,,,,,,,,,,,,
1992-12-31 18:00:00,,,2.24,,,2.62,,,,,,,,,,,,
1993-01-04 18:00:00,,,2.24,,,2.62,,,,,,,,,,,,
1993-01-05 18:00:00,,,2.24,,,2.62,,,,,,,,,,,,
1993-01-06 18:00:00,,,2.24,,,2.62,,,,,,,,,,,,
1993-01-07 18:00:00,,,2.24,,,2.62,,,,,,,,,,,,
1993-01-08 18:00:00,,,2.24,,,2.62,,,,,,,,,,,,
1993-01-09 18:00:00,,,2.24,,,2.62,,,,,,,,,,,,
1993-01-11 18:00:00,,,2.24,,,2.62,,,,,,,,,,,,
1993-01-12 18:00:00,,,2.24,,,2.62,,,,,,,,,,,,
1993-01-13 18:00:00,,,2.24,,,2.62,,,,,,,,,,,,
1993-01-14 18:00:00,,,2.24,,,2.62,,,,,,,,,,,,
1993-01-15 18:00:00,,,2.24,,,2.62,,,,,,,,,,,,
1993-01-18 18:00:00,,,2.24,,,2.62,,,,,,,,,,,,
1993-01-19 18:00:00,,,2.24,,,2.62,,,,,,,,,,,,
1993-01-20 18:00:00,,,2.24,,,2.62,,,,,,,,,,,,
1993-01-21 18:00:00,,,2.24,,,2.62,,,,,,,,,,,,
1993-01-22 18:00:00,,,2.24,,,2.62,,,,,,,,,,,,
1993-01-25 18:00:00,,,2.25,,,2.6,,,,,,,,,,,,
1993-01-26 18:00:00,,,2.25,,,2.6,,,,,,,,,,,,
1993-01-27 18:00:00,,,2.25,,,2.6,,,,,,,,,,,,
1993-01-28 18:00:00,,,2.25,,,2.6,,,,,,,,,,,,
1993-01-29 18:00:00,,,2.25,,,2.6,,,,,,,,,,,,
1993-02-01 18:00:00,,,2.25,,,2.6,,,,,,,,,,,,
1993-02-02 18:00:00,,,2.25,,,2.65,,,,,,,,,,,,
1993-02-03 18:00:00,,,1.8,,,2.65,,,,,,,,,,,,
1993-02-04 18:00:00,,,1.8,,,2.65,,,,,,,,,,,,
1993-02-05 18:00:00,,,1.8,,,2.65,,,,,,,,,,,,
1993-02-08 18:00:00,,,1.8,,,2.65,,,,,,,,,,,,
1993-02-09 18:00:00,,,1.8,,,2.65,,,,,,,,,,,,
1993-02-10 18:00:00,,,1.8,,,2.6,,,,,,,,,,,,
1993-02-11 18:00:00,,,1.8,,,2.6,,,,,,,,,,,,
1993-02-12 18:00:00,,,1.8,,,2.6,,,,,,,,,,,,
1993-02-15 18:00:00,,,1.8,,,2.55,,,,,,,,,,,,
1993-02-16 18:00:00,,,1.8,,,2.55,,,,,,,,,,,,
1993-02-17 18:00:00,,,1.8,,,2.55,,,,,,,,,,,,
1993-02-18 18:00:00,,,1.8,,,2.55,,,,,,,,,,,,
1993-02-19 18:00:00,,,1.8,,,2.55,,,,,,,,,,,,
1993-02-22 18:00:00,,,1.8,,,2.55,,,,,,,,,,,,
1993-02-23 18:00:00,,,1.8,,,2.55,,,,,,,,,,,,
1993-02-24 18:00:00,,,1.8,,,2.55,,,,,,,,,,,,
1993-02-25 18:00:00,,,1.8,,,2.55,,,,,,,,,,,,
1993-02-26 18:00:00,,,1.8,,,2.55,,,,,,,,,,,,
1993-03-01 18:00:00,,,1.8,,,2.55,,,,,,,,,,,,
1993-03-02 18:00:00,,,1.8,,,2.55,,,,,,,,,,,,
1993-03-03 18:00:00,,,1.8,,,2.55,,,,,,,,,,,,
1993-03-04 18:00:00,,,1.8,,,2.55,,,,,,,,,,,,
1993-03-05 18:00:00,,,1.8,,,2.55,,,,,,,,,,,,
1993-03-08 18:00:00,,,1.8,,,2.55,,,,,,,,,,,,
1993-03-09 18:00:00,,,1.8,,,2.55,,,,,,,,,,,,
1993-03-10 18:00:00,,,1.8,,,2.55,,,,,,,,,,,,
1993-03-11 18:00:00,,,1.8,,,2.55,,,,,,,,,,,,
1993-03-12 18:00:00,,,1.8,,,2.55,,,,,,,,,,,,
1993-03-15 18:00:00,,,1.8,,,2.55,,,,,,,,,,,,
1993-03-16 18:00:00,,,1.8,,,2.55,,,,,,,,,,,,
1993-03-17 18:00:00,,,1.8,,,2.55,,,,,,,,,,,,
1993-03-18 18:00:00,,,1.8,,,2.55,,,,,,,,,,,,
1993-03-19 18:00:00,,,1.8,,,2.55,,,,,,,,,,,,
1993-03-22 18:00:00,,,1.8,,,2.55,,,,,,,,,,,,
1993-03-23 18:00:00,,,1.8,,,2.55,,,,,,,,,,,,
1993-03-24 18:00:00,,,1.8,,,2.55,,,,,,,,,,,,
