Date,EIK,EIM,GRND,HAGA,ICEAIR,MARL,N1,NYHR,OSSRu,REGINN,REITIR,SIMINN,SJOVA,TM,VIS,VOICE,OMXIPI
01/06/2016,8.8,274,34.45,48.5,32.6,254.5,68.1,17.3,460,22.5,83.8,3.08,12.02,20.75,7.93,44.9,1292.56
02/06/2016,8.74,272.5,33.95,48.1,32.35,256,68.5,17.125,460,22.45,83.8,3.1,12.03,20.75,7.92,44.4,1290.02
03/06/2016,8.6,270,33.4,47.5,31.9,253.5,68.5,17.25,475,22.2,84,3.01,12.02,20.45,7.85,43.95,1287.89
06/06/2016,8.75,268,32.5,45.65,31.05,248,66.9,16.8,460,22.5,85.2,2.98,11.73,19.95,7.66,43.25,1262.38
07/06/2016,8.755,271,32.2,45,31.8,250.5,67.5,17.1,460,22.5,85.2,3.01,11.82,20.3,7.8,43.65,1270.56
08/06/2016,8.69,270,32.25,44.05,30.85,250,67.8,16.8,450,22.2,85.1,3.01,11.77,19.9,7.75,43.65,1255.05
09/06/2016,8.69,270,32.25,43.9,31,252,68.7,17.25,445,22.25,85.05,2.98,11.65,20,7.8,43.65,1255.12
10/06/2016,8.65,269,32.25,44.55,31.3,254.5,70,17.25,450,22.15,84.6,2.98,11.48,19.6,7.77,43.55,1261.94
13/06/2016,8.65,269,32.25,44.1,31,254,69,17.25,448,22.15,83.8,2.98,11.4,19.85,7.7,43.55,1256.34
14/06/2016,8.69,269,32,44.65,31.1,254.5,69,17.25,445,22.2,83.7,2.99,11.4,20.1,7.79,43.95,1256.9
15/06/2016,8.77,269,32,45.5,31.75,256.75,70,16.9,445,22.2,84.7,2.99,11.4,20,7.76,43.95,1265.86
16/06/2016,8.77,269,32,47,32.3,255.5,70,16.9,445,22.2,84.7,2.99,11.4,20,7.8,43.95,1270.64
20/06/2016,8.77,270,31.55,47,32.65,262,70.15,16.85,445,22.45,84.3,3,11.59,20.3,7.91,44.3,1279.64
21/06/2016,8.88,272,31.55,48,32.85,268.5,70.7,16.85,445,22.85,85,3,11.72,20.4,7.9,44.75,1291.75
22/06/2016,8.8,273,31.3,47.65,32.6,265,70,16.85,445,22.35,84.1,3,11.735,20.2,7.88,44.75,1291.75
23/06/2016,8.88,273,31.3,47.65,33,268.5,70.4,16.85,445,22.25,84.1,3,11.8,20.4,7.9,44.75,1289.75
24/06/2016,8.77,266,30.1,46.7,31,254,69.5,16.85,425,21.9,83.2,2.96,11.66,19.8,7.76,43.9,1241.14
27/06/2016,8.56,259,29.8,45,29.85,246,67.5,16.7,425,21.2,81.2,2.91,11.45,19.55,7.49,43.1,1213.4
28/06/2016,8.6,263.5,29.7,46.3,31,254,68,17.05,425,21.7,82.4,2.97,11.45,19.7,7.6,43.3,1235.28
29/06/2016,8.7,265,29.65,46.95,31,255,68,17.05,425,21.75,82.1,2.99,11.545,19.875,7.735,43.5,1238.71
30/06/2016,8.7,265.5,29.6,47.7,31.25,259,69.3,17.1,420,21.95,82.8,3.02,11.55,19.875,7.72,44.2,1244.6
01/07/2016,8.74,268.5,29.55,47.8,31.35,260,70.5,17.35,410,21.95,82.5,3.04,11.55,20,7.68,44.2,1242.05
04/07/2016,8.65,268.5,29.55,47,31,255.5,70.5,17.35,410,21.95,82.3,3.01,11.48,19.8,7.68,44.2,1233.04
05/07/2016,8.7,268.5,29.5,46.9,31.3,254,70,17.35,410,22.4,82.9,3.01,11.49,20,7.68,44,1234.86
06/07/2016,8.66,271,29.05,46.75,30.6,251,70.2,17.1,450,22.3,82.6,3,11.45,19.8,7.6,43.5,1248.13
07/07/2016,8.7,270,29,46.7,30.75,252.5,70.2,17.1,450,22.25,82.9,2.99,11.5,19.8,7.6,43.5,1250.42
08/07/2016,8.66,270,29,46.7,31.1,250.5,70.4,17.1,450,22.575,82.4,3.02,11.5,19.8,7.7,43.5,1251.47
11/07/2016,8.66,271.5,29,46.85,31.8,257,71.5,17.2,450,22.7,82.9,3.04,11.5,19.825,7.72,44.05,1264.56
12/07/2016,8.75,274.5,29.5,46.9,32.05,261,73.3,17.2,440,23.05,83.1,3.09,11.58,20.75,7.75,44.6,1270.28
13/07/2016,8.93,276.5,30.75,47.15,32.7,262,74.1,17.35,440,23.3,83.9,3.2,11.58,21,7.82,45.05,1283.68
14/07/2016,8.95,278.5,32.35,47.475,32.9,261.75,74.8,17.3,425,23.2,84,3.19,11.58,21.2,7.86,45.05,1281.36
15/07/2016,8.95,278,33.1,47.8,32.8,260,75,17.3,425,23.35,82.9,3.21,11.58,21.2,7.86,45.05,1280.68
18/07/2016,8.95,275.5,31.9,47.7,32.8,260.5,74,17.3,425,23.4,83.9,3.23,11.58,21,7.86,45.05,1278.19
19/07/2016,8.8,271.5,31.9,48.1,32.3,259.5,74.1,16.9,425,23,83,3.18,11.52,21,7.86,44.65,1270.19
20/07/2016,8.76,274,32.45,47.5,32.45,259.5,74.1,16.9,425,22.8,82.5,3.18,11.52,21,7.78,44.5,1270.83
21/07/2016,8.82,274,32,47.5,31.9,259.5,73.5,16.9,425,22.9,82.5,3.18,11.52,20.8,7.78,44.5,1266.23
22/07/2016,8.82,274,32.65,47.6,31.55,259.5,73.5,16.9,425,22.65,82.5,3.17,11.52,20.8,7.78,44.5,1264.96
25/07/2016,8.82,274,32,47.15,31.45,262,73.6,16.9,425,22.65,82.35,3.12,11.5,20.9,7.78,44.5,1263.72
26/07/2016,8.82,270,31.45,47.1,30.8,260,74.1,16.9,425,22.55,81.8,3.12,11.5,20.7,7.75,44.3,1252.01
27/07/2016,8.82,268,31.25,47.15,30.35,262.5,74.1,16.9,425,22.55,81.9,3.12,11.59,21.1,7.75,44.3,1251.16
28/07/2016,8.69,262,30.65,47.075,27.9,255,73.1,16.5,450,22.35,81.4,3.1,11.33,20.75,7.6,43.7,1235.5
29/07/2016,8.6,260,30.25,46,27.45,252,72.4,16.55,435,22.2,81.2,3.09,11.08,20.95,7.6,43.1,1216.22
02/08/2016,8.69,260.5,30.7,46.05,28.1,256,73,16.55,450,22.45,82,3.135,11.4,20.95,7.58,43.65,1237.29
03/08/2016,8.72,260.5,30.5,46.325,28.75,256.25,73,16.5,450,22.5,82,3.12,11.4,20.95,7.58,43.65,1241.89
04/08/2016,8.77,271.5,30.5,45.8,28.5,260,74.3,16.5,450,22.8,82,3.13,11.3,20.85,7.61,43.65,1247.22
05/08/2016,8.7,269,30.5,45.6,27.9,256,74,16.5,450,22.65,81.6,3.11,11.3,21,7.55,43.65,1237.09
08/08/2016,8.6,268,30.5,45.6,27.35,249,73.3,16.5,450,22.45,81.2,3.08,11.19,20.975,7.46,43.6,1224.23
09/08/2016,8.75,268.5,30.5,45.35,27.25,251.5,72.5,16.5,450,22.2,80.8,3.1,11.25,21.6,7.5,43.6,1226.1
10/08/2016,8.72,268,30,45.7,27.2,249.5,73.1,16.5,450,22.2,81.5,3.09,11.25,21.6,7.5,43.4,1223.69
11/08/2016,8.67,266.5,29.85,45.9,27.2,249,73.2,16.5,440,22.1,80.8,3.07,11.2,21.5,7.47,43.4,1217.52
12/08/2016,8.72,268,29.7,47.1,27.3,251,72.7,16.5,440,22.35,81.5,3.06,11.2,21.65,7.47,43.4,1223.06
15/08/2016,8.85,270,29.9,48.45,27.6,254,73,16.5,440,22.75,83.1,3.09,11.32,21.65,7.6,43.9,1235.04
16/08/2016,8.96,273,29.9,48.9,27.6,255,74,16.9,440,23.05,83.3,3.15,11.5,21.85,7.73,44.4,1241.27
17/08/2016,9.13,275.75,29.4,49,27.05,254,73.5,16.9,440,23.1,83.7,3.12,11.48,21.9,7.76,43.75,1237
18/08/2016,9.26,276.5,29.6,49.65,26.9,253,73.5,16.55,430,23.15,84.6,3.1,11.48,21.8,7.76,43.75,1232.02
19/08/2016,9.11,276.5,29.2,49.25,26.85,249,73.5,16.55,430,22.9,83.8,3.1,11.48,21.8,7.75,43.65,1224.31
22/08/2016,9.27,276.5,29.2,49.5,27,249,73.55,16.55,430,23.1,84.4,3.1,11.5,21.75,7.74,44.2,1227.51
23/08/2016,9.26,276.25,29.2,49,26.9,249,73.7,16.55,430,23.1,85,3.06,11.5,21.75,7.74,43.2,1225.77
24/08/2016,9.65,287,30.45,50.6,27.7,256,75.5,16.7,430,24.1,86.9,3.14,11.98,22.6,8.06,44.45,1256.22
25/08/2016,9.89,287,30,49.5,26.9,248.5,74.5,17.55,430,24.5,87.55,3.16,12.07,23.35,8.03,44.25,1244.73
26/08/2016,9.81,300.25,30.45,49.5,26.5,246,74.9,17.55,430,24.1,88.1,3.03,11.55,23.3,7.83,44.25,1240.45
29/08/2016,9.77,300,30,48.5,25.6,241,74,17,450,23.75,87.7,3.02,11.65,23.3,8.05,44.2,1237.36
30/08/2016,9.98,305.5,30.65,48.4,26,247.5,74.5,16.7,450,23.8,87.65,3.1,11.75,23.35,8.04,45,1251.36
31/08/2016,9.96,305,30.65,48.4,26.5,250.5,75.5,16.8,450,23.9,88.5,3.08,11.66,23.9,8.15,46,1259.35
01/09/2016,9.97,312.5,31,48.65,27.1,252.25,77.1,16.9,425,24.05,88.4,3.06,11.69,24.1,8.42,46,1255.46
02/09/2016,10.33,312,31.3,50.25,27.15,253.25,79.2,17.05,425,24.55,90,3.06,12.02,24.65,8.5,46.8,1266.56
05/09/2016,10.5,306.5,31.15,50.1,26.55,250,77.8,17.05,425,25.15,90.95,3.05,12.23,24.8,8.7,46.75,1257.72
06/09/2016,10.5,305,31.15,50.3,26.2,247,77.6,17.05,425,25.05,91.5,3.01,12.73,25.05,8.59,47.15,1253.32
07/09/2016,10.56,308,31.2,50.3,25.85,249.5,77.3,17.4,425,25.7,94,3.04,13.05,25.5,8.62,48.5,1260.28
08/09/2016,10.6,309.5,31.6,50,25.9,249,77.7,17.4,425,25.7,94.4,3.02,13,25.35,8.56,48.2,1260.99
09/09/2016,10.5,309,30.75,50,27.15,251,78,17.1,425,25.6,93.9,3,13,25.6,8.53,48.2,1267.5
12/09/2016,10.37,310,30.75,50.6,27.35,255,77,17.05,425,25.1,92,3.07,13.05,25.65,8.52,48.2,1270.84
13/09/2016,10.25,309,30.75,50.2,26.95,253,77,17.05,410,25.2,92.1,3.03,13,25.65,8.45,48,1255.83
14/09/2016,10.22,305.5,30.75,50.3,26.9,248,77.2,17,430,24.55,90.9,3.03,12.95,24.7,8.35,47.75,1257.57
15/09/2016,10.23,307,30.25,50.8,27,248.5,77.2,17.1,430,24.25,92,3.03,12.86,24.9,8.25,47.45,1258.77
16/09/2016,10.165,312.5,30.3,51.9,26.75,248.5,76.85,17,430,24.55,91.55,3.03,13.09,25.05,8.37,47.45,1260.95
19/09/2016,10.23,314.5,30.3,51.8,26.6,247.5,77.3,17,430,24.5,91.2,3.05,13.06,25.325,8.45,47.45,1260.14
20/09/2016,10.23,314,30.25,51.8,26.45,245.5,77,17,430,24.65,91.2,3.03,13.15,25.325,8.52,47.45,1257.31
21/09/2016,10.18,311.5,30.25,51,26.2,244.5,77,16.85,410,24.35,91.45,3.03,13.08,25.15,8.52,47.45,1240.46
22/09/2016,10.18,314.5,30.25,51.4,25.95,247,76.6,17.15,445,24.5,92.1,3.06,13.14,25.45,8.57,47.45,1264.4
23/09/2016,10.23,315,29.85,51.95,26.2,251,76.6,17.15,445,24.575,91.6,3.06,13.14,25.5,8.52,48.1,1269.85
26/09/2016,10.1,311,29.85,51.4,25.7,249,76.9,16.8,430,24.35,90.8,3.04,12.95,24.8,8.62,47.9,1251.41
27/09/2016,10.115,305,29.05,51.4,25.3,245.5,76.2,17.25,430,24.1,90,3,12.91,24.3,8.57,47.25,1239.4
28/09/2016,10.25,306,28.3,51.2,25.35,249.5,77.4,17,430,24.85,92,3,13,24.45,8.62,47.9,1246.8
29/09/2016,10.2,304.5,27.95,50.9,24.55,247.5,77,17,430,24.45,92,2.98,12.91,23.9,8.49,47.9,1235.54
30/09/2016,10.075,299.5,27.55,50.5,23.35,237,75.6,16.65,430,23.9,90,2.94,12.7,23.75,8.34,47.2,1208.88
03/10/2016,10.2,307.5,27.55,51.4,24.35,245,77.3,17,430,24.35,91.7,2.97,12.75,24.25,8.45,47.9,1231.88
04/10/2016,10.36,311.5,27.25,52,25.45,252,79.6,17.15,400.5,25.075,93.5,3.08,12.95,24.75,8.5,48.65,1237.57
05/10/2016,10.54,316,28,52.4,26,253,83.2,17.15,430,25.2,94,3.11,13.07,25,8.58,49,1266.81
06/10/2016,10.45,316,28,52.4,26.2,253.5,82.75,16.8,430,25.35,94,3.13,13.125,25.15,8.65,49.1,1268.79
07/10/2016,10.44,315.5,28,52.3,26.15,253.5,83.1,16.8,430,25.3,94,3.16,13.125,25.3,8.65,49.375,1268.77
10/10/2016,10.5,317,27.6,52.25,26.525,256.5,83.7,17,430,25.15,94.1,3.2,13.05,25.3,8.67,49.7,1274.35
11/10/2016,10.5,316.5,27.6,53.1,26.1,255,88,17.1,430,25.35,94.1,3.15,13.19,25.25,8.74,49.6,1273.47
12/10/2016,10.42,316,26.25,52.6,25.8,255,88.3,17.1,430,25.2,93.3,3.13,13.19,25.05,8.62,49.6,1265.35
13/10/2016,10.29,315.5,26.35,52.5,25.25,250.5,88.3,17.2,425,25.05,93.2,3.1,13.13,24.9,8.73,49.6,1253.38
14/10/2016,10.315,315.5,26.45,53.4,25.25,250.5,88.6,17,425,24.9,92.8,3.11,13.17,25.15,8.75,49.35,1254.78
