Date,EIK,EIM,GRND,HAGA,ICEAIR,MARL,N1,NYHR,OSSRu,REGINN,REITIR,SIMINN,SJOVA,TM,VIS,VOICE,DAX,DJI,FCHI,FTSE,IBEX,IXIC,N225,OMXC20,OMXI8,OMXIGI,OMXIMCPI,OMXIPI,OMXISCPI,OMXS30,PSI20,SSMI,STOXX50E,AUD-ISK,CAD-ISK,CHF-ISK,CNY-ISK,DKK-ISK,EUR-ISK,GBP-ISK,INR-ISK,JPY-ISK,NOK-ISK,NZD-ISK,PLN-ISK,RUB-ISK,SEK-ISK,USD-ISK,Unempl_Perc,Wage_Index,Loan_Index,Consumer_price_index,Inflation_Perc,Building_cost_index,Producer_price_index,Import,Export,OMXI10YNI,OMXI10YI,OMXI1YNI,OMXI5YI,OMXI5YNI,OMXI3MNI
04/01/2010,0,0,5.2,0,3.65,62.2,0,11,152.5,0,0,0,0,0,0,0,6048.3,10583.96,4013.97,5500.3,12145.1,2308.42,10654.79,347.85,811.05,0,35.74,494.04,94.3,963.56,0,6631.44,0,113.97,119.89,121.28,17.86,24.1855,179.795,201.03,2.6339,1.3489,21.87,91.74,44,4.0221,17.6815,124.885,7.6,366.9,7033,356.2,6.6,100,200.36161,35657.7,32927.7,0,398.8632818,291.2168958,375.5798019,280.9239256,296.141928
05/01/2010,0,0,5.2,0,3.65,62.2,0,11,153.5,0,0,0,0,0,0,0,6031.86,10572.02,4012.91,5522.5,12204.4,2308.71,10681.83,345.14,811.3,0,35.78,494.47,94.18,967.27,0,6579.26,0,114.17,120.52,121.19,17.81,24.1665,180.025,200.22,2.6351,1.3647,21.92,91.92,43.96,4.0389,17.6105,125.165,7.6,366.9,7033,356.2,6.6,100,200.36161,35657.7,32927.7,0,401.0962821,290.6364116,377.1341358,278.5353045,296.1539255
06/01/2010,0,0,5.2,0,3.65,62.2,0,11,156,0,0,0,0,0,0,0,6034.33,10573.68,4017.67,5530,12222.5,2301.09,10731.45,346.37,817.01,0,36.06,497.8,94.18,967.27,0,6559.41,0,114.94,121.12,121.61,17.72,24.256,180.125,200.26,2.6457,1.3532,22.06,92.2,43.98,4.0196,17.715,124.965,7.6,366.9,7033,356.2,6.6,100,200.36161,35657.7,32927.7,0,403.8843869,290.3317613,379.1726466,277.5468066,296.2021941
07/01/2010,0,0,5.2,0,3.65,61.5,0,11,156,0,0,0,0,0,0,0,6019.36,10606.86,4024.8,5526.7,12166.3,2300.05,10681.66,351.28,815.08,0,36.08,498.04,94.19,965.82,0,6555.36,0,115.14,122.02,122.19,17.73,24.1715,179.845,200.18,2.6491,1.3462,22.07,92.02,43.91,4.0216,17.642,126.27,7.6,366.9,7033,356.2,6.6,100,200.36161,35657.7,32927.7,0,403.966142,290.9108546,379.3080243,278.9257025,296.261238
08/01/2010,0,0,5.2,0,3.65,61.5,0,11,157.5,0,0,0,0,0,0,0,6037.61,10618.19,4045.14,5534.2,12163,2317.17,10798.32,353.23,819.03,0,36.48,502.97,94.36,973.44,0,6617.88,0,115.58,121.35,122.14,17.7,24.2165,180.19,200.37,2.6515,1.3496,22.06,92.09,44.34,4.043,17.668,125.005,7.6,366.9,7033,356.2,6.6,100,200.36161,35657.7,32927.7,0,405.136623,291.0477348,379.6992307,279.1709154,296.4509245
11/01/2010,0,0,5.2,0,3.65,62,0,11,159,0,0,0,0,0,0,0,6040.5,10663.99,4043.09,5538.1,12074.5,2312.41,10798.32,359.54,820.72,0,36.76,505.14,92.73,978.18,0,6592.26,0,115.85,120.28,122.34,17.6,24.2605,180.485,200.275,2.6489,1.351,22.16,92.43,44.39,4.0977,17.6975,124.365,7.6,366.9,7033,356.2,6.6,100,200.36161,35657.7,32927.7,0,403.8160122,291.267443,379.1252379,279.8901377,296.5133074
12/01/2010,0,0,5.2,0,3.6,62.1,0,11,161,0,0,0,0,0,0,0,5943,10627.26,4000.05,5498.7,11966.1,2282.31,10879.14,356.73,827.08,0,37,508.95,94.08,969.55,0,6541.9,0,114.19,119.35,121.92,17.62,24.22,179.845,200.68,2.6369,1.3639,21.94,91.67,44.1,4.0684,17.5875,124.075,7.6,366.9,7033,356.2,6.6,100,200.36161,35657.7,32927.7,0,406.020219,291.6500264,380.4507205,280.9897413,296.595248
13/01/2010,0,0,5.2,0,3.55,62.4,0,11,166.5,0,0,0,0,0,0,0,5963.14,10680.77,4000.86,5473.5,11958.3,2307.9,10735.03,356.53,839.57,0,37.58,516.36,94.74,974.96,0,6554.55,0,114.85,120.35,121.87,17.67,24.2015,180.05,202.33,2.6513,1.3594,22.05,91.94,44.5,4.0814,17.668,124.065,7.6,366.9,7033,356.2,6.6,100,200.36161,35657.7,32927.7,0,407.6584509,291.6018965,381.0811436,281.026501,296.6696065
14/01/2010,0,0,5.2,0,3.5,61.9,0,11,166,0,0,0,0,0,0,0,5988.88,10710.55,4015.77,5498.2,11999.8,2316.74,10907.68,361.79,835.28,0,37.47,513.78,92.79,981.5,0,6627.42,0,115.47,121.31,121.9,17.7,24.1575,180.015,202.425,2.6522,1.3616,22.04,92.17,44.45,4.1046,17.684,124.095,7.6,366.9,7033,356.2,6.6,100,200.36161,35657.7,32927.7,0,407.7640109,291.3015209,380.9838744,280.5380995,296.7187578
15/01/2010,0,0,5.2,0,3.45,62.3,0,11,168.5,0,0,0,0,0,0,0,5875.97,10609.65,3954.38,5455.4,11845,2287.99,10982.1,359.27,843.15,0,37.83,518.14,92.95,970.65,0,6576.02,0,115.38,121.48,121.75,17.7,24.158,179.785,203.265,2.6383,1.3767,22,92.3,44.47,4.0909,17.6805,124.985,7.6,366.9,7033,356.2,6.6,100,200.36161,35657.7,32927.7,0,407.9027791,291.655983,381.3409507,281.5620873,296.9173036
