Date,EIK,EIM,GRND,HAGA,ICEAIR,MARL,N1,NYHR,OSSRu,REGINN,REITIR,SIMINN,SJOVA,TM,VIS,VOICE,DAX,DJI,FCHI,FTSE,IBEX,IXIC,N225,NOMXIBB,NOMXINOM,NOMXIREAL,OMXC20,OMXI8,OMXIGI,OMXIMCPI,OMXIPI,OMXISCPI,OMXS30,PSI20,SSMI,STOXX50E,VIX,AUD-ISK,CAD-ISK,CHF-ISK,CNY-ISK,DKK-ISK,EUR-ISK,GBP-ISK,INR-ISK,JPY-ISK,NOK-ISK,NZD-ISK,PLN-ISK,RUB-ISK,SEK-ISK,USD-ISK,Target
2010-01-04,0.0,0.0,5.2,0.0,3.65,62.2,0.0,11.0,152.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6048.3,10583.96,4013.97,5500.3,12145.1,2308.42,10654.79,0.0,0.0,0.0,347.85,811.05,0.0,35.74,494.04,94.3,963.56,0.0,6631.44,0.0,0.0,113.97,119.89,121.28,17.86,24.1855,179.795,201.03,2.6339,1.3489,21.87,91.74,44.0,4.0221,17.6815,124.885,1
2010-01-05,0.0,0.0,5.2,0.0,3.65,62.2,0.0,11.0,153.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6031.86,10572.02,4012.91,5522.5,12204.4,2308.71,10681.83,0.0,0.0,0.0,345.14,811.3,0.0,35.78,494.47,94.18,967.27,0.0,6579.26,0.0,0.0,114.17,120.52,121.19,17.81,24.1665,180.025,200.22,2.6351,1.3647,21.92,91.92,43.96,4.0389,17.6105,125.165,1
2010-01-06,0.0,0.0,5.2,0.0,3.65,62.2,0.0,11.0,156.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6034.33,10573.68,4017.67,5530.0,12222.5,2301.09,10731.45,0.0,0.0,0.0,346.37,817.01,0.0,36.06,497.8,94.18,967.27,0.0,6559.41,0.0,0.0,114.94,121.12,121.61,17.72,24.256,180.125,200.26,2.6457,1.3532,22.06,92.2,43.98,4.0196,17.715,124.965,1
2010-01-07,0.0,0.0,5.2,0.0,3.65,61.5,0.0,11.0,156.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6019.36,10606.86,4024.8,5526.7,12166.3,2300.05,10681.66,0.0,0.0,0.0,351.28,815.08,0.0,36.08,498.04,94.19,965.82,0.0,6555.36,0.0,0.0,115.14,122.02,122.19,17.73,24.1715,179.845,200.18,2.6491,1.3462,22.07,92.02,43.91,4.0216,17.642,126.27,1
2010-01-08,0.0,0.0,5.2,0.0,3.65,61.5,0.0,11.0,157.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6037.61,10618.19,4045.14,5534.2,12163.0,2317.17,10798.32,0.0,0.0,0.0,353.23,819.03,0.0,36.48,502.97,94.36,973.44,0.0,6617.88,0.0,0.0,115.58,121.35,122.14,17.7,24.2165,180.19,200.37,2.6515,1.3496,22.06,92.09,44.34,4.043,17.668,125.005,0
2010-01-11,0.0,0.0,5.2,0.0,3.65,62.0,0.0,11.0,159.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6040.5,10663.99,4043.09,5538.1,12074.5,2312.41,10798.32,0.0,0.0,0.0,359.54,820.72,0.0,36.76,505.14,92.73,978.18,0.0,6592.26,0.0,0.0,115.85,120.28,122.34,17.6,24.2605,180.485,200.275,2.6489,1.351,22.16,92.43,44.39,4.0977,17.6975,124.365,0
2010-01-12,0.0,0.0,5.2,0.0,3.6,62.1,0.0,11.0,161.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5943.0,10627.26,4000.05,5498.7,11966.1,2282.31,10879.14,0.0,0.0,0.0,356.73,827.08,0.0,37.0,508.95,94.08,969.55,0.0,6541.9,0.0,0.0,114.19,119.35,121.92,17.62,24.22,179.845,200.68,2.6369,1.3639,21.94,91.67,44.1,4.0684,17.5875,124.075,0
2010-01-13,0.0,0.0,5.2,0.0,3.55,62.4,0.0,11.0,166.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5963.14,10680.77,4000.86,5473.5,11958.3,2307.9,10735.03,0.0,0.0,0.0,356.53,839.57,0.0,37.58,516.36,94.74,974.96,0.0,6554.55,0.0,0.0,114.85,120.35,121.87,17.67,24.2015,180.05,202.33,2.6513,1.3594,22.05,91.94,44.5,4.0814,17.668,124.065,1
2010-01-19,0.0,0.0,5.2,0.0,3.45,61.8,0.0,11.0,166.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5976.48,10725.43,4009.67,5513.1,12022.6,2320.4,10764.9,0.0,0.0,0.0,360.47,832.28,0.0,37.58,511.72,88.02,976.0,0.0,6633.86,0.0,0.0,116.27,121.92,121.31,17.7,24.0635,179.085,204.99,2.6357,1.3811,22.12,92.92,44.75,4.0834,17.756,125.235,1
2010-01-20,0.0,0.0,5.2,0.0,3.45,61.8,0.0,11.0,163.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5851.53,10603.15,3928.95,5420.8,11709.0,2291.25,10737.52,0.0,0.0,0.0,356.31,837.66,0.0,37.34,513.0,94.04,957.53,0.0,6586.53,0.0,0.0,116.02,121.42,122.27,17.7,24.068,179.125,207.905,2.6202,1.392,21.97,91.9,44.21,4.0606,17.6435,127.035,1
