Date,Predictions,True_label
2010-02-19,1,1
2010-01-29,1,1
2010-02-04,0,0
2015-04-28,0,0
2013-04-15,0,0
2016-03-23,0,0
2016-05-12,1,1
2010-07-13,1,1
2010-10-04,1,1
2012-06-18,0,0
2015-04-09,0,0
2016-03-11,0,0
2010-04-07,0,0
2014-11-07,1,0
2011-04-11,0,0
2016-09-02,0,0
2013-10-17,1,1
2011-11-25,0,1
2010-08-10,0,0
2013-12-06,0,0
2011-11-24,0,0
2015-03-02,0,0
2015-05-13,1,1
2012-01-04,0,0
2015-02-02,0,0
2014-01-14,0,0
2016-01-19,0,0
2010-08-24,0,0
2013-02-26,1,0
2011-02-18,0,1
2013-01-29,1,1
2010-12-10,0,0
2015-04-29,0,0
2012-06-01,0,0
2016-06-15,0,0
2013-10-21,1,1
2011-11-28,0,1
2012-06-19,0,0
2014-07-03,0,0
2011-12-22,0,0
2011-07-28,0,1
2016-07-15,1,1
2013-04-22,0,0
2011-05-26,0,0
2010-11-17,0,0
2015-09-07,0,0
2015-03-18,0,0
2013-01-08,0,0
2012-05-09,0,0
2010-03-31,1,1
2013-04-12,0,0
2012-11-12,0,1
2015-03-16,1,1
2010-08-18,0,0
2014-04-08,0,0
2013-07-22,0,1
2010-12-14,0,0
2012-10-30,0,0
2014-09-29,0,0
2014-11-20,1,1
2015-09-23,1,0
2011-05-11,0,0
2013-08-22,0,0
2014-11-13,1,1
2015-12-04,0,0
2015-07-08,0,1
2014-07-23,1,1
2010-11-15,0,0
2016-03-21,0,0
2011-10-03,1,1
2014-08-27,0,0
2011-08-04,0,0
2011-09-09,0,1
2014-01-06,0,0
2011-11-02,0,0
2011-05-03,0,0
2011-02-14,0,0
2016-06-21,1,1
2011-09-22,0,0
2015-11-16,0,0
2014-07-22,1,1
2013-10-10,0,0
2011-09-29,0,1
2010-02-17,1,1
2014-10-27,0,0
2013-01-24,1,1
2013-09-17,0,0
2012-05-03,0,0
2015-11-04,0,0
2014-11-26,0,1
2010-11-01,1,0
2014-02-24,0,0
2015-08-13,0,0
2013-03-06,0,0
2010-10-13,1,1
2012-10-23,0,0
2011-05-25,0,0
2016-04-13,0,0
2010-10-05,0,0
2015-06-18,0,0
2013-07-08,1,1
2016-06-23,0,1
2014-04-01,0,0
2015-01-26,0,0
2015-11-20,0,0
2010-11-02,0,0
2010-05-14,1,1
2015-08-19,0,0
2011-07-19,0,1
2011-05-31,0,0
2012-10-03,0,0
2010-08-17,0,0
2012-01-02,0,1
2012-03-06,0,1
2011-08-30,1,1
2014-02-05,0,0
2010-03-26,0,0
2012-05-30,0,0
2011-09-02,1,1
2016-01-12,0,0
2012-02-24,1,1
2010-08-23,0,0
2012-09-26,0,0
2014-09-10,0,0
2010-11-25,0,0
